ID,P15,P16
1,V_15-1,V_16-1
2,V_15-2,V_16-2
3,V_15-3,V_16-3
4,V_15-4,V_16-4
5,V_15-5,V_16-5
6,V_15-6,V_16-6
7,V_15-7,V_16-7
8,V_15-8,V_16-8
9,V_15-9,V_16-9
10,V_15-10,V_16-10
11,V_15-11,V_16-11
12,V_15-12,V_16-12
13,V_15-13,V_16-13
14,V_15-14,V_16-14
15,V_15-15,V_16-15
16,V_15-16,V_16-16
17,V_15-17,V_16-17
18,V_15-18,V_16-18
19,V_15-19,V_16-19
20,V_15-20,V_16-20
21,V_15-21,V_16-21
22,V_15-22,V_16-22
23,V_15-23,V_16-23
24,V_15-24,V_16-24
25,V_15-25,V_16-25
26,V_15-26,V_16-26
27,V_15-27,V_16-27
28,V_15-28,V_16-28
29,V_15-29,V_16-29
30,V_15-30,V_16-30
31,V_15-31,V_16-31
32,V_15-32,V_16-32
33,V_15-33,V_16-33
34,V_15-34,V_16-34
35,V_15-35,V_16-35
36,V_15-36,V_16-36
37,V_15-37,V_16-37
38,V_15-38,V_16-38
39,V_15-39,V_16-39
40,V_15-40,V_16-40
41,V_15-41,V_16-41
42,V_15-42,V_16-42
43,V_15-43,V_16-43
44,V_15-44,V_16-44
45,V_15-45,V_16-45
46,V_15-46,V_16-46
47,V_15-47,V_16-47
48,V_15-48,V_16-48
49,V_15-49,V_16-49
50,V_15-50,V_16-50
51,V_15-51,V_16-51
52,V_15-52,V_16-52
53,V_15-53,V_16-53
54,V_15-54,V_16-54
55,V_15-55,V_16-55
56,V_15-56,V_16-56
57,V_15-57,V_16-57
58,V_15-58,V_16-58
59,V_15-59,V_16-59
60,V_15-60,V_16-60
61,V_15-61,V_16-61
62,V_15-62,V_16-62
63,V_15-63,V_16-63
64,V_15-64,V_16-64
65,V_15-65,V_16-65
66,V_15-66,V_16-66
67,V_15-67,V_16-67
68,V_15-68,V_16-68
69,V_15-69,V_16-69
70,V_15-70,V_16-70
71,V_15-71,V_16-71
72,V_15-72,V_16-72
73,V_15-73,V_16-73
74,V_15-74,V_16-74
75,V_15-75,V_16-75
76,V_15-76,V_16-76
77,V_15-77,V_16-77
78,V_15-78,V_16-78
79,V_15-79,V_16-79
80,V_15-80,V_16-80
81,V_15-81,V_16-81
82,V_15-82,V_16-82
83,V_15-83,V_16-83
84,V_15-84,V_16-84
85,V_15-85,V_16-85
86,V_15-86,V_16-86
87,V_15-87,V_16-87
88,V_15-88,V_16-88
89,V_15-89,V_16-89
90,V_15-90,V_16-90
91,V_15-91,V_16-91
92,V_15-92,V_16-92
93,V_15-93,V_16-93
94,V_15-94,V_16-94
95,V_15-95,V_16-95
96,V_15-96,V_16-96
97,V_15-97,V_16-97
98,V_15-98,V_16-98
99,V_15-99,V_16-99
100,V_15-100,V_16-100
101,V_15-101,V_16-101
102,V_15-102,V_16-102
103,V_15-103,V_16-103
104,V_15-104,V_16-104
105,V_15-105,V_16-105
106,V_15-106,V_16-106
107,V_15-107,V_16-107
108,V_15-108,V_16-108
109,V_15-109,V_16-109
110,V_15-110,V_16-110
111,V_15-111,V_16-111
112,V_15-112,V_16-112
113,V_15-113,V_16-113
114,V_15-114,V_16-114
115,V_15-115,V_16-115
116,V_15-116,V_16-116
117,V_15-117,V_16-117
118,V_15-118,V_16-118
119,V_15-119,V_16-119
120,V_15-120,V_16-120
121,V_15-121,V_16-121
122,V_15-122,V_16-122
123,V_15-123,V_16-123
124,V_15-124,V_16-124
125,V_15-125,V_16-125
126,V_15-126,V_16-126
127,V_15-127,V_16-127
128,V_15-128,V_16-128
129,V_15-129,V_16-129
130,V_15-130,V_16-130
131,V_15-131,V_16-131
132,V_15-132,V_16-132
133,V_15-133,V_16-133
134,V_15-134,V_16-134
135,V_15-135,V_16-135
136,V_15-136,V_16-136
137,V_15-137,V_16-137
138,V_15-138,V_16-138
139,V_15-139,V_16-139
140,V_15-140,V_16-140
141,V_15-141,V_16-141
142,V_15-142,V_16-142
143,V_15-143,V_16-143
144,V_15-144,V_16-144
145,V_15-145,V_16-145
146,V_15-146,V_16-146
147,V_15-147,V_16-147
148,V_15-148,V_16-148
149,V_15-149,V_16-149
150,V_15-150,V_16-150
151,V_15-151,V_16-151
152,V_15-152,V_16-152
153,V_15-153,V_16-153
154,V_15-154,V_16-154
155,V_15-155,V_16-155
156,V_15-156,V_16-156
157,V_15-157,V_16-157
158,V_15-158,V_16-158
159,V_15-159,V_16-159
160,V_15-160,V_16-160
161,V_15-161,V_16-161
162,V_15-162,V_16-162
163,V_15-163,V_16-163
164,V_15-164,V_16-164
165,V_15-165,V_16-165
166,V_15-166,V_16-166
167,V_15-167,V_16-167
168,V_15-168,V_16-168
169,V_15-169,V_16-169
170,V_15-170,V_16-170
171,V_15-171,V_16-171
172,V_15-172,V_16-172
173,V_15-173,V_16-173
174,V_15-174,V_16-174
175,V_15-175,V_16-175
176,V_15-176,V_16-176
177,V_15-177,V_16-177
178,V_15-178,V_16-178
179,V_15-179,V_16-179
180,V_15-180,V_16-180
181,V_15-181,V_16-181
182,V_15-182,V_16-182
183,V_15-183,V_16-183
184,V_15-184,V_16-184
185,V_15-185,V_16-185
186,V_15-186,V_16-186
187,V_15-187,V_16-187
188,V_15-188,V_16-188
189,V_15-189,V_16-189
190,V_15-190,V_16-190
191,V_15-191,V_16-191
192,V_15-192,V_16-192
193,V_15-193,V_16-193
194,V_15-194,V_16-194
195,V_15-195,V_16-195
196,V_15-196,V_16-196
197,V_15-197,V_16-197
198,V_15-198,V_16-198
199,V_15-199,V_16-199
200,V_15-200,V_16-200
201,V_15-201,V_16-201
202,V_15-202,V_16-202
203,V_15-203,V_16-203
204,V_15-204,V_16-204
205,V_15-205,V_16-205
206,V_15-206,V_16-206
207,V_15-207,V_16-207
208,V_15-208,V_16-208
209,V_15-209,V_16-209
210,V_15-210,V_16-210
211,V_15-211,V_16-211
212,V_15-212,V_16-212
213,V_15-213,V_16-213
214,V_15-214,V_16-214
215,V_15-215,V_16-215
216,V_15-216,V_16-216
217,V_15-217,V_16-217
218,V_15-218,V_16-218
219,V_15-219,V_16-219
220,V_15-220,V_16-220
221,V_15-221,V_16-221
222,V_15-222,V_16-222
223,V_15-223,V_16-223
224,V_15-224,V_16-224
225,V_15-225,V_16-225
226,V_15-226,V_16-226
227,V_15-227,V_16-227
228,V_15-228,V_16-228
229,V_15-229,V_16-229
230,V_15-230,V_16-230
231,V_15-231,V_16-231
232,V_15-232,V_16-232
233,V_15-233,V_16-233
234,V_15-234,V_16-234
235,V_15-235,V_16-235
236,V_15-236,V_16-236
237,V_15-237,V_16-237
238,V_15-238,V_16-238
239,V_15-239,V_16-239
240,V_15-240,V_16-240
241,V_15-241,V_16-241
242,V_15-242,V_16-242
243,V_15-243,V_16-243
244,V_15-244,V_16-244
245,V_15-245,V_16-245
246,V_15-246,V_16-246
247,V_15-247,V_16-247
248,V_15-248,V_16-248
249,V_15-249,V_16-249
250,V_15-250,V_16-250
251,V_15-251,V_16-251
252,V_15-252,V_16-252
253,V_15-253,V_16-253
254,V_15-254,V_16-254
255,V_15-255,V_16-255
256,V_15-256,V_16-256
257,V_15-257,V_16-257
258,V_15-258,V_16-258
259,V_15-259,V_16-259
260,V_15-260,V_16-260
