ID,P08,P09
1,V_8-1,V_9-1
2,V_8-2,V_9-2
3,V_8-3,V_9-3
4,V_8-4,V_9-4
5,V_8-5,V_9-5
6,V_8-6,V_9-6
7,V_8-7,V_9-7
8,V_8-8,V_9-8
9,V_8-9,V_9-9
10,V_8-10,V_9-10
11,V_8-11,V_9-11
12,V_8-12,V_9-12
13,V_8-13,V_9-13
14,V_8-14,V_9-14
15,V_8-15,V_9-15
16,V_8-16,V_9-16
17,V_8-17,V_9-17
18,V_8-18,V_9-18
19,V_8-19,V_9-19
20,V_8-20,V_9-20
21,V_8-21,V_9-21
22,V_8-22,V_9-22
23,V_8-23,V_9-23
24,V_8-24,V_9-24
25,V_8-25,V_9-25
26,V_8-26,V_9-26
27,V_8-27,V_9-27
28,V_8-28,V_9-28
29,V_8-29,V_9-29
30,V_8-30,V_9-30
31,V_8-31,V_9-31
32,V_8-32,V_9-32
33,V_8-33,V_9-33
34,V_8-34,V_9-34
35,V_8-35,V_9-35
36,V_8-36,V_9-36
37,V_8-37,V_9-37
38,V_8-38,V_9-38
39,V_8-39,V_9-39
40,V_8-40,V_9-40
41,V_8-41,V_9-41
42,V_8-42,V_9-42
43,V_8-43,V_9-43
44,V_8-44,V_9-44
45,V_8-45,V_9-45
46,V_8-46,V_9-46
47,V_8-47,V_9-47
48,V_8-48,V_9-48
49,V_8-49,V_9-49
50,V_8-50,V_9-50
51,V_8-51,V_9-51
52,V_8-52,V_9-52
53,V_8-53,V_9-53
54,V_8-54,V_9-54
55,V_8-55,V_9-55
56,V_8-56,V_9-56
57,V_8-57,V_9-57
58,V_8-58,V_9-58
59,V_8-59,V_9-59
60,V_8-60,V_9-60
61,V_8-61,V_9-61
62,V_8-62,V_9-62
63,V_8-63,V_9-63
64,V_8-64,V_9-64
65,V_8-65,V_9-65
66,V_8-66,V_9-66
67,V_8-67,V_9-67
68,V_8-68,V_9-68
69,V_8-69,V_9-69
70,V_8-70,V_9-70
71,V_8-71,V_9-71
72,V_8-72,V_9-72
73,V_8-73,V_9-73
74,V_8-74,V_9-74
75,V_8-75,V_9-75
76,V_8-76,V_9-76
77,V_8-77,V_9-77
78,V_8-78,V_9-78
79,V_8-79,V_9-79
80,V_8-80,V_9-80
81,V_8-81,V_9-81
82,V_8-82,V_9-82
83,V_8-83,V_9-83
84,V_8-84,V_9-84
85,V_8-85,V_9-85
86,V_8-86,V_9-86
87,V_8-87,V_9-87
88,V_8-88,V_9-88
89,V_8-89,V_9-89
90,V_8-90,V_9-90
91,V_8-91,V_9-91
92,V_8-92,V_9-92
93,V_8-93,V_9-93
94,V_8-94,V_9-94
95,V_8-95,V_9-95
96,V_8-96,V_9-96
97,V_8-97,V_9-97
98,V_8-98,V_9-98
99,V_8-99,V_9-99
100,V_8-100,V_9-100
101,V_8-101,V_9-101
102,V_8-102,V_9-102
103,V_8-103,V_9-103
104,V_8-104,V_9-104
105,V_8-105,V_9-105
106,V_8-106,V_9-106
107,V_8-107,V_9-107
108,V_8-108,V_9-108
