ID,P22,P23
1,V_22-1,V_23-1
2,V_22-2,V_23-2
3,V_22-3,V_23-3
4,V_22-4,V_23-4
5,V_22-5,V_23-5
6,V_22-6,V_23-6
7,V_22-7,V_23-7
8,V_22-8,V_23-8
9,V_22-9,V_23-9
10,V_22-10,V_23-10
11,V_22-11,V_23-11
12,V_22-12,V_23-12
13,V_22-13,V_23-13
14,V_22-14,V_23-14
15,V_22-15,V_23-15
16,V_22-16,V_23-16
17,V_22-17,V_23-17
18,V_22-18,V_23-18
19,V_22-19,V_23-19
20,V_22-20,V_23-20
21,V_22-21,V_23-21
22,V_22-22,V_23-22
23,V_22-23,V_23-23
24,V_22-24,V_23-24
25,V_22-25,V_23-25
26,V_22-26,V_23-26
27,V_22-27,V_23-27
28,V_22-28,V_23-28
29,V_22-29,V_23-29
30,V_22-30,V_23-30
31,V_22-31,V_23-31
32,V_22-32,V_23-32
33,V_22-33,V_23-33
34,V_22-34,V_23-34
35,V_22-35,V_23-35
36,V_22-36,V_23-36
37,V_22-37,V_23-37
38,V_22-38,V_23-38
39,V_22-39,V_23-39
40,V_22-40,V_23-40
41,V_22-41,V_23-41
42,V_22-42,V_23-42
43,V_22-43,V_23-43
44,V_22-44,V_23-44
45,V_22-45,V_23-45
46,V_22-46,V_23-46
47,V_22-47,V_23-47
48,V_22-48,V_23-48
49,V_22-49,V_23-49
50,V_22-50,V_23-50
51,V_22-51,V_23-51
52,V_22-52,V_23-52
53,V_22-53,V_23-53
54,V_22-54,V_23-54
55,V_22-55,V_23-55
56,V_22-56,V_23-56
57,V_22-57,V_23-57
58,V_22-58,V_23-58
59,V_22-59,V_23-59
60,V_22-60,V_23-60
61,V_22-61,V_23-61
62,V_22-62,V_23-62
63,V_22-63,V_23-63
64,V_22-64,V_23-64
65,V_22-65,V_23-65
66,V_22-66,V_23-66
67,V_22-67,V_23-67
68,V_22-68,V_23-68
69,V_22-69,V_23-69
70,V_22-70,V_23-70
71,V_22-71,V_23-71
72,V_22-72,V_23-72
73,V_22-73,V_23-73
74,V_22-74,V_23-74
75,V_22-75,V_23-75
76,V_22-76,V_23-76
77,V_22-77,V_23-77
78,V_22-78,V_23-78
79,V_22-79,V_23-79
80,V_22-80,V_23-80
81,V_22-81,V_23-81
82,V_22-82,V_23-82
83,V_22-83,V_23-83
84,V_22-84,V_23-84
85,V_22-85,V_23-85
86,V_22-86,V_23-86
87,V_22-87,V_23-87
88,V_22-88,V_23-88
89,V_22-89,V_23-89
90,V_22-90,V_23-90
91,V_22-91,V_23-91
92,V_22-92,V_23-92
93,V_22-93,V_23-93
