ID,P02,P03
1,V_2-1,V_3-1
2,V_2-2,V_3-2
3,V_2-3,V_3-3
4,V_2-4,V_3-4
5,V_2-5,V_3-5
6,V_2-6,V_3-6
7,V_2-7,V_3-7
8,V_2-8,V_3-8
9,V_2-9,V_3-9
10,V_2-10,V_3-10
11,V_2-11,V_3-11
12,V_2-12,V_3-12
13,V_2-13,V_3-13
14,V_2-14,V_3-14
15,V_2-15,V_3-15
16,V_2-16,V_3-16
17,V_2-17,V_3-17
18,V_2-18,V_3-18
19,V_2-19,V_3-19
20,V_2-20,V_3-20
21,V_2-21,V_3-21
22,V_2-22,V_3-22
23,V_2-23,V_3-23
24,V_2-24,V_3-24
25,V_2-25,V_3-25
26,V_2-26,V_3-26
27,V_2-27,V_3-27
28,V_2-28,V_3-28
29,V_2-29,V_3-29
30,V_2-30,V_3-30
31,V_2-31,V_3-31
32,V_2-32,V_3-32
33,V_2-33,V_3-33
34,V_2-34,V_3-34
35,V_2-35,V_3-35
36,V_2-36,V_3-36
37,V_2-37,V_3-37
38,V_2-38,V_3-38
39,V_2-39,V_3-39
40,V_2-40,V_3-40
41,V_2-41,V_3-41
42,V_2-42,V_3-42
43,V_2-43,V_3-43
44,V_2-44,V_3-44
45,V_2-45,V_3-45
46,V_2-46,V_3-46
47,V_2-47,V_3-47
48,V_2-48,V_3-48
49,V_2-49,V_3-49
50,V_2-50,V_3-50
51,V_2-51,V_3-51
52,V_2-52,V_3-52
53,V_2-53,V_3-53
54,V_2-54,V_3-54
55,V_2-55,V_3-55
56,V_2-56,V_3-56
57,V_2-57,V_3-57
58,V_2-58,V_3-58
59,V_2-59,V_3-59
60,V_2-60,V_3-60
61,V_2-61,V_3-61
62,V_2-62,V_3-62
63,V_2-63,V_3-63
64,V_2-64,V_3-64
65,V_2-65,V_3-65
66,V_2-66,V_3-66
67,V_2-67,V_3-67
68,V_2-68,V_3-68
69,V_2-69,V_3-69
70,V_2-70,V_3-70
71,V_2-71,V_3-71
72,V_2-72,V_3-72
73,V_2-73,V_3-73
74,V_2-74,V_3-74
75,V_2-75,V_3-75
76,V_2-76,V_3-76
77,V_2-77,V_3-77
78,V_2-78,V_3-78
79,V_2-79,V_3-79
80,V_2-80,V_3-80
81,V_2-81,V_3-81
82,V_2-82,V_3-82
83,V_2-83,V_3-83
84,V_2-84,V_3-84
85,V_2-85,V_3-85
86,V_2-86,V_3-86
87,V_2-87,V_3-87
88,V_2-88,V_3-88
89,V_2-89,V_3-89
90,V_2-90,V_3-90
91,V_2-91,V_3-91
92,V_2-92,V_3-92
93,V_2-93,V_3-93
94,V_2-94,V_3-94
95,V_2-95,V_3-95
96,V_2-96,V_3-96
97,V_2-97,V_3-97
98,V_2-98,V_3-98
99,V_2-99,V_3-99
100,V_2-100,V_3-100
101,V_2-101,V_3-101
102,V_2-102,V_3-102
103,V_2-103,V_3-103
104,V_2-104,V_3-104
105,V_2-105,V_3-105
106,V_2-106,V_3-106
107,V_2-107,V_3-107
108,V_2-108,V_3-108
109,V_2-109,V_3-109
110,V_2-110,V_3-110
111,V_2-111,V_3-111
112,V_2-112,V_3-112
113,V_2-113,V_3-113
114,V_2-114,V_3-114
115,V_2-115,V_3-115
116,V_2-116,V_3-116
117,V_2-117,V_3-117
118,V_2-118,V_3-118
119,V_2-119,V_3-119
120,V_2-120,V_3-120
121,V_2-121,V_3-121
122,V_2-122,V_3-122
123,V_2-123,V_3-123
124,V_2-124,V_3-124
125,V_2-125,V_3-125
126,V_2-126,V_3-126
127,V_2-127,V_3-127
128,V_2-128,V_3-128
129,V_2-129,V_3-129
130,V_2-130,V_3-130
131,V_2-131,V_3-131
132,V_2-132,V_3-132
133,V_2-133,V_3-133
134,V_2-134,V_3-134
135,V_2-135,V_3-135
136,V_2-136,V_3-136
137,V_2-137,V_3-137
138,V_2-138,V_3-138
139,V_2-139,V_3-139
140,V_2-140,V_3-140
141,V_2-141,V_3-141
142,V_2-142,V_3-142
143,V_2-143,V_3-143
144,V_2-144,V_3-144
145,V_2-145,V_3-145
146,V_2-146,V_3-146
147,V_2-147,V_3-147
148,V_2-148,V_3-148
149,V_2-149,V_3-149
150,V_2-150,V_3-150
151,V_2-151,V_3-151
152,V_2-152,V_3-152
153,V_2-153,V_3-153
154,V_2-154,V_3-154
155,V_2-155,V_3-155
156,V_2-156,V_3-156
157,V_2-157,V_3-157
158,V_2-158,V_3-158
159,V_2-159,V_3-159
160,V_2-160,V_3-160
161,V_2-161,V_3-161
162,V_2-162,V_3-162
163,V_2-163,V_3-163
164,V_2-164,V_3-164
165,V_2-165,V_3-165
166,V_2-166,V_3-166
167,V_2-167,V_3-167
168,V_2-168,V_3-168
169,V_2-169,V_3-169
170,V_2-170,V_3-170
171,V_2-171,V_3-171
172,V_2-172,V_3-172
173,V_2-173,V_3-173
174,V_2-174,V_3-174
175,V_2-175,V_3-175
176,V_2-176,V_3-176
177,V_2-177,V_3-177
178,V_2-178,V_3-178
179,V_2-179,V_3-179
180,V_2-180,V_3-180
181,V_2-181,V_3-181
182,V_2-182,V_3-182
183,V_2-183,V_3-183
184,V_2-184,V_3-184
185,V_2-185,V_3-185
186,V_2-186,V_3-186
187,V_2-187,V_3-187
188,V_2-188,V_3-188
189,V_2-189,V_3-189
190,V_2-190,V_3-190
191,V_2-191,V_3-191
192,V_2-192,V_3-192
193,V_2-193,V_3-193
194,V_2-194,V_3-194
195,V_2-195,V_3-195
196,V_2-196,V_3-196
197,V_2-197,V_3-197
198,V_2-198,V_3-198
199,V_2-199,V_3-199
200,V_2-200,V_3-200
201,V_2-201,V_3-201
202,V_2-202,V_3-202
203,V_2-203,V_3-203
204,V_2-204,V_3-204
205,V_2-205,V_3-205
206,V_2-206,V_3-206
207,V_2-207,V_3-207
208,V_2-208,V_3-208
209,V_2-209,V_3-209
210,V_2-210,V_3-210
