ID,P07,P08
1,V_7-1,V_8-1
2,V_7-2,V_8-2
3,V_7-3,V_8-3
4,V_7-4,V_8-4
5,V_7-5,V_8-5
6,V_7-6,V_8-6
7,V_7-7,V_8-7
8,V_7-8,V_8-8
9,V_7-9,V_8-9
10,V_7-10,V_8-10
11,V_7-11,V_8-11
12,V_7-12,V_8-12
13,V_7-13,V_8-13
14,V_7-14,V_8-14
15,V_7-15,V_8-15
16,V_7-16,V_8-16
17,V_7-17,V_8-17
18,V_7-18,V_8-18
19,V_7-19,V_8-19
20,V_7-20,V_8-20
21,V_7-21,V_8-21
22,V_7-22,V_8-22
23,V_7-23,V_8-23
24,V_7-24,V_8-24
25,V_7-25,V_8-25
26,V_7-26,V_8-26
27,V_7-27,V_8-27
28,V_7-28,V_8-28
29,V_7-29,V_8-29
30,V_7-30,V_8-30
31,V_7-31,V_8-31
32,V_7-32,V_8-32
33,V_7-33,V_8-33
34,V_7-34,V_8-34
35,V_7-35,V_8-35
36,V_7-36,V_8-36
37,V_7-37,V_8-37
38,V_7-38,V_8-38
39,V_7-39,V_8-39
40,V_7-40,V_8-40
41,V_7-41,V_8-41
42,V_7-42,V_8-42
43,V_7-43,V_8-43
44,V_7-44,V_8-44
45,V_7-45,V_8-45
46,V_7-46,V_8-46
47,V_7-47,V_8-47
48,V_7-48,V_8-48
49,V_7-49,V_8-49
50,V_7-50,V_8-50
51,V_7-51,V_8-51
52,V_7-52,V_8-52
53,V_7-53,V_8-53
54,V_7-54,V_8-54
55,V_7-55,V_8-55
56,V_7-56,V_8-56
57,V_7-57,V_8-57
58,V_7-58,V_8-58
59,V_7-59,V_8-59
60,V_7-60,V_8-60
61,V_7-61,V_8-61
62,V_7-62,V_8-62
63,V_7-63,V_8-63
64,V_7-64,V_8-64
65,V_7-65,V_8-65
66,V_7-66,V_8-66
67,V_7-67,V_8-67
68,V_7-68,V_8-68
69,V_7-69,V_8-69
70,V_7-70,V_8-70
71,V_7-71,V_8-71
72,V_7-72,V_8-72
73,V_7-73,V_8-73
74,V_7-74,V_8-74
75,V_7-75,V_8-75
76,V_7-76,V_8-76
77,V_7-77,V_8-77
78,V_7-78,V_8-78
79,V_7-79,V_8-79
80,V_7-80,V_8-80
81,V_7-81,V_8-81
82,V_7-82,V_8-82
83,V_7-83,V_8-83
84,V_7-84,V_8-84
85,V_7-85,V_8-85
86,V_7-86,V_8-86
87,V_7-87,V_8-87
88,V_7-88,V_8-88
89,V_7-89,V_8-89
90,V_7-90,V_8-90
91,V_7-91,V_8-91
92,V_7-92,V_8-92
93,V_7-93,V_8-93
94,V_7-94,V_8-94
95,V_7-95,V_8-95
96,V_7-96,V_8-96
97,V_7-97,V_8-97
98,V_7-98,V_8-98
99,V_7-99,V_8-99
100,V_7-100,V_8-100
101,V_7-101,V_8-101
102,V_7-102,V_8-102
103,V_7-103,V_8-103
104,V_7-104,V_8-104
105,V_7-105,V_8-105
106,V_7-106,V_8-106
107,V_7-107,V_8-107
108,V_7-108,V_8-108
109,V_7-109,V_8-109
110,V_7-110,V_8-110
111,V_7-111,V_8-111
112,V_7-112,V_8-112
113,V_7-113,V_8-113
114,V_7-114,V_8-114
115,V_7-115,V_8-115
116,V_7-116,V_8-116
117,V_7-117,V_8-117
118,V_7-118,V_8-118
119,V_7-119,V_8-119
120,V_7-120,V_8-120
121,V_7-121,V_8-121
122,V_7-122,V_8-122
123,V_7-123,V_8-123
124,V_7-124,V_8-124
125,V_7-125,V_8-125
126,V_7-126,V_8-126
127,V_7-127,V_8-127
128,V_7-128,V_8-128
129,V_7-129,V_8-129
130,V_7-130,V_8-130
