ID,P09,P10
1,V_9-1,V_10-1
2,V_9-2,V_10-2
3,V_9-3,V_10-3
4,V_9-4,V_10-4
5,V_9-5,V_10-5
6,V_9-6,V_10-6
7,V_9-7,V_10-7
8,V_9-8,V_10-8
9,V_9-9,V_10-9
10,V_9-10,V_10-10
11,V_9-11,V_10-11
12,V_9-12,V_10-12
13,V_9-13,V_10-13
14,V_9-14,V_10-14
15,V_9-15,V_10-15
16,V_9-16,V_10-16
17,V_9-17,V_10-17
18,V_9-18,V_10-18
19,V_9-19,V_10-19
20,V_9-20,V_10-20
21,V_9-21,V_10-21
22,V_9-22,V_10-22
23,V_9-23,V_10-23
24,V_9-24,V_10-24
25,V_9-25,V_10-25
26,V_9-26,V_10-26
27,V_9-27,V_10-27
28,V_9-28,V_10-28
29,V_9-29,V_10-29
30,V_9-30,V_10-30
31,V_9-31,V_10-31
32,V_9-32,V_10-32
33,V_9-33,V_10-33
34,V_9-34,V_10-34
35,V_9-35,V_10-35
36,V_9-36,V_10-36
37,V_9-37,V_10-37
38,V_9-38,V_10-38
39,V_9-39,V_10-39
40,V_9-40,V_10-40
41,V_9-41,V_10-41
42,V_9-42,V_10-42
43,V_9-43,V_10-43
44,V_9-44,V_10-44
45,V_9-45,V_10-45
46,V_9-46,V_10-46
47,V_9-47,V_10-47
48,V_9-48,V_10-48
49,V_9-49,V_10-49
50,V_9-50,V_10-50
51,V_9-51,V_10-51
52,V_9-52,V_10-52
53,V_9-53,V_10-53
54,V_9-54,V_10-54
55,V_9-55,V_10-55
56,V_9-56,V_10-56
57,V_9-57,V_10-57
58,V_9-58,V_10-58
59,V_9-59,V_10-59
60,V_9-60,V_10-60
61,V_9-61,V_10-61
62,V_9-62,V_10-62
63,V_9-63,V_10-63
64,V_9-64,V_10-64
65,V_9-65,V_10-65
66,V_9-66,V_10-66
67,V_9-67,V_10-67
68,V_9-68,V_10-68
69,V_9-69,V_10-69
70,V_9-70,V_10-70
71,V_9-71,V_10-71
72,V_9-72,V_10-72
73,V_9-73,V_10-73
