ID,P11,P12
1,V_11-1,V_12-1
2,V_11-2,V_12-2
3,V_11-3,V_12-3
4,V_11-4,V_12-4
5,V_11-5,V_12-5
6,V_11-6,V_12-6
7,V_11-7,V_12-7
8,V_11-8,V_12-8
9,V_11-9,V_12-9
10,V_11-10,V_12-10
11,V_11-11,V_12-11
12,V_11-12,V_12-12
13,V_11-13,V_12-13
14,V_11-14,V_12-14
15,V_11-15,V_12-15
16,V_11-16,V_12-16
17,V_11-17,V_12-17
18,V_11-18,V_12-18
19,V_11-19,V_12-19
20,V_11-20,V_12-20
21,V_11-21,V_12-21
22,V_11-22,V_12-22
23,V_11-23,V_12-23
24,V_11-24,V_12-24
25,V_11-25,V_12-25
26,V_11-26,V_12-26
27,V_11-27,V_12-27
28,V_11-28,V_12-28
29,V_11-29,V_12-29
30,V_11-30,V_12-30
31,V_11-31,V_12-31
32,V_11-32,V_12-32
33,V_11-33,V_12-33
34,V_11-34,V_12-34
35,V_11-35,V_12-35
36,V_11-36,V_12-36
37,V_11-37,V_12-37
38,V_11-38,V_12-38
39,V_11-39,V_12-39
40,V_11-40,V_12-40
41,V_11-41,V_12-41
42,V_11-42,V_12-42
43,V_11-43,V_12-43
44,V_11-44,V_12-44
45,V_11-45,V_12-45
46,V_11-46,V_12-46
47,V_11-47,V_12-47
48,V_11-48,V_12-48
49,V_11-49,V_12-49
50,V_11-50,V_12-50
51,V_11-51,V_12-51
52,V_11-52,V_12-52
53,V_11-53,V_12-53
54,V_11-54,V_12-54
55,V_11-55,V_12-55
56,V_11-56,V_12-56
57,V_11-57,V_12-57
58,V_11-58,V_12-58
59,V_11-59,V_12-59
60,V_11-60,V_12-60
61,V_11-61,V_12-61
62,V_11-62,V_12-62
63,V_11-63,V_12-63
64,V_11-64,V_12-64
65,V_11-65,V_12-65
66,V_11-66,V_12-66
67,V_11-67,V_12-67
68,V_11-68,V_12-68
69,V_11-69,V_12-69
70,V_11-70,V_12-70
71,V_11-71,V_12-71
72,V_11-72,V_12-72
73,V_11-73,V_12-73
74,V_11-74,V_12-74
75,V_11-75,V_12-75
76,V_11-76,V_12-76
77,V_11-77,V_12-77
78,V_11-78,V_12-78
79,V_11-79,V_12-79
80,V_11-80,V_12-80
81,V_11-81,V_12-81
82,V_11-82,V_12-82
83,V_11-83,V_12-83
84,V_11-84,V_12-84
85,V_11-85,V_12-85
86,V_11-86,V_12-86
87,V_11-87,V_12-87
88,V_11-88,V_12-88
89,V_11-89,V_12-89
90,V_11-90,V_12-90
91,V_11-91,V_12-91
92,V_11-92,V_12-92
93,V_11-93,V_12-93
94,V_11-94,V_12-94
95,V_11-95,V_12-95
96,V_11-96,V_12-96
97,V_11-97,V_12-97
98,V_11-98,V_12-98
99,V_11-99,V_12-99
100,V_11-100,V_12-100
101,V_11-101,V_12-101
102,V_11-102,V_12-102
103,V_11-103,V_12-103
104,V_11-104,V_12-104
105,V_11-105,V_12-105
106,V_11-106,V_12-106
107,V_11-107,V_12-107
108,V_11-108,V_12-108
109,V_11-109,V_12-109
110,V_11-110,V_12-110
111,V_11-111,V_12-111
112,V_11-112,V_12-112
113,V_11-113,V_12-113
114,V_11-114,V_12-114
115,V_11-115,V_12-115
116,V_11-116,V_12-116
117,V_11-117,V_12-117
118,V_11-118,V_12-118
119,V_11-119,V_12-119
120,V_11-120,V_12-120
121,V_11-121,V_12-121
122,V_11-122,V_12-122
123,V_11-123,V_12-123
124,V_11-124,V_12-124
125,V_11-125,V_12-125
126,V_11-126,V_12-126
127,V_11-127,V_12-127
128,V_11-128,V_12-128
129,V_11-129,V_12-129
130,V_11-130,V_12-130
131,V_11-131,V_12-131
132,V_11-132,V_12-132
133,V_11-133,V_12-133
134,V_11-134,V_12-134
135,V_11-135,V_12-135
136,V_11-136,V_12-136
137,V_11-137,V_12-137
138,V_11-138,V_12-138
139,V_11-139,V_12-139
140,V_11-140,V_12-140
141,V_11-141,V_12-141
142,V_11-142,V_12-142
143,V_11-143,V_12-143
144,V_11-144,V_12-144
145,V_11-145,V_12-145
146,V_11-146,V_12-146
147,V_11-147,V_12-147
148,V_11-148,V_12-148
149,V_11-149,V_12-149
150,V_11-150,V_12-150
151,V_11-151,V_12-151
152,V_11-152,V_12-152
153,V_11-153,V_12-153
154,V_11-154,V_12-154
155,V_11-155,V_12-155
156,V_11-156,V_12-156
157,V_11-157,V_12-157
158,V_11-158,V_12-158
159,V_11-159,V_12-159
160,V_11-160,V_12-160
161,V_11-161,V_12-161
162,V_11-162,V_12-162
163,V_11-163,V_12-163
164,V_11-164,V_12-164
165,V_11-165,V_12-165
166,V_11-166,V_12-166
167,V_11-167,V_12-167
168,V_11-168,V_12-168
169,V_11-169,V_12-169
170,V_11-170,V_12-170
171,V_11-171,V_12-171
172,V_11-172,V_12-172
173,V_11-173,V_12-173
174,V_11-174,V_12-174
175,V_11-175,V_12-175
176,V_11-176,V_12-176
177,V_11-177,V_12-177
178,V_11-178,V_12-178
179,V_11-179,V_12-179
180,V_11-180,V_12-180
181,V_11-181,V_12-181
182,V_11-182,V_12-182
183,V_11-183,V_12-183
184,V_11-184,V_12-184
185,V_11-185,V_12-185
186,V_11-186,V_12-186
187,V_11-187,V_12-187
188,V_11-188,V_12-188
189,V_11-189,V_12-189
190,V_11-190,V_12-190
191,V_11-191,V_12-191
192,V_11-192,V_12-192
193,V_11-193,V_12-193
194,V_11-194,V_12-194
195,V_11-195,V_12-195
196,V_11-196,V_12-196
197,V_11-197,V_12-197
198,V_11-198,V_12-198
199,V_11-199,V_12-199
200,V_11-200,V_12-200
201,V_11-201,V_12-201
202,V_11-202,V_12-202
203,V_11-203,V_12-203
204,V_11-204,V_12-204
205,V_11-205,V_12-205
206,V_11-206,V_12-206
207,V_11-207,V_12-207
208,V_11-208,V_12-208
209,V_11-209,V_12-209
210,V_11-210,V_12-210
211,V_11-211,V_12-211
212,V_11-212,V_12-212
213,V_11-213,V_12-213
214,V_11-214,V_12-214
215,V_11-215,V_12-215
216,V_11-216,V_12-216
217,V_11-217,V_12-217
218,V_11-218,V_12-218
219,V_11-219,V_12-219
220,V_11-220,V_12-220
221,V_11-221,V_12-221
222,V_11-222,V_12-222
223,V_11-223,V_12-223
224,V_11-224,V_12-224
225,V_11-225,V_12-225
226,V_11-226,V_12-226
227,V_11-227,V_12-227
228,V_11-228,V_12-228
229,V_11-229,V_12-229
230,V_11-230,V_12-230
231,V_11-231,V_12-231
232,V_11-232,V_12-232
233,V_11-233,V_12-233
234,V_11-234,V_12-234
235,V_11-235,V_12-235
236,V_11-236,V_12-236
237,V_11-237,V_12-237
238,V_11-238,V_12-238
239,V_11-239,V_12-239
240,V_11-240,V_12-240
241,V_11-241,V_12-241
242,V_11-242,V_12-242
243,V_11-243,V_12-243
244,V_11-244,V_12-244
245,V_11-245,V_12-245
246,V_11-246,V_12-246
247,V_11-247,V_12-247
248,V_11-248,V_12-248
249,V_11-249,V_12-249
250,V_11-250,V_12-250
251,V_11-251,V_12-251
252,V_11-252,V_12-252
253,V_11-253,V_12-253
254,V_11-254,V_12-254
255,V_11-255,V_12-255
256,V_11-256,V_12-256
257,V_11-257,V_12-257
258,V_11-258,V_12-258
259,V_11-259,V_12-259
260,V_11-260,V_12-260
261,V_11-261,V_12-261
262,V_11-262,V_12-262
263,V_11-263,V_12-263
264,V_11-264,V_12-264
265,V_11-265,V_12-265
266,V_11-266,V_12-266
267,V_11-267,V_12-267
268,V_11-268,V_12-268
269,V_11-269,V_12-269
270,V_11-270,V_12-270
271,V_11-271,V_12-271
272,V_11-272,V_12-272
273,V_11-273,V_12-273
274,V_11-274,V_12-274
275,V_11-275,V_12-275
276,V_11-276,V_12-276
277,V_11-277,V_12-277
278,V_11-278,V_12-278
279,V_11-279,V_12-279
280,V_11-280,V_12-280
281,V_11-281,V_12-281
282,V_11-282,V_12-282
283,V_11-283,V_12-283
284,V_11-284,V_12-284
285,V_11-285,V_12-285
286,V_11-286,V_12-286
287,V_11-287,V_12-287
288,V_11-288,V_12-288
289,V_11-289,V_12-289
290,V_11-290,V_12-290
291,V_11-291,V_12-291
292,V_11-292,V_12-292
293,V_11-293,V_12-293
294,V_11-294,V_12-294
295,V_11-295,V_12-295
296,V_11-296,V_12-296
297,V_11-297,V_12-297
298,V_11-298,V_12-298
299,V_11-299,V_12-299
300,V_11-300,V_12-300
301,V_11-301,V_12-301
302,V_11-302,V_12-302
303,V_11-303,V_12-303
304,V_11-304,V_12-304
305,V_11-305,V_12-305
306,V_11-306,V_12-306
307,V_11-307,V_12-307
308,V_11-308,V_12-308
309,V_11-309,V_12-309
310,V_11-310,V_12-310
311,V_11-311,V_12-311
312,V_11-312,V_12-312
313,V_11-313,V_12-313
314,V_11-314,V_12-314
315,V_11-315,V_12-315
316,V_11-316,V_12-316
317,V_11-317,V_12-317
318,V_11-318,V_12-318
319,V_11-319,V_12-319
320,V_11-320,V_12-320
321,V_11-321,V_12-321
322,V_11-322,V_12-322
323,V_11-323,V_12-323
324,V_11-324,V_12-324
325,V_11-325,V_12-325
326,V_11-326,V_12-326
327,V_11-327,V_12-327
328,V_11-328,V_12-328
329,V_11-329,V_12-329
330,V_11-330,V_12-330
331,V_11-331,V_12-331
332,V_11-332,V_12-332
333,V_11-333,V_12-333
334,V_11-334,V_12-334
335,V_11-335,V_12-335
336,V_11-336,V_12-336
337,V_11-337,V_12-337
338,V_11-338,V_12-338
339,V_11-339,V_12-339
340,V_11-340,V_12-340
341,V_11-341,V_12-341
342,V_11-342,V_12-342
343,V_11-343,V_12-343
344,V_11-344,V_12-344
345,V_11-345,V_12-345
346,V_11-346,V_12-346
347,V_11-347,V_12-347
348,V_11-348,V_12-348
349,V_11-349,V_12-349
350,V_11-350,V_12-350
351,V_11-351,V_12-351
352,V_11-352,V_12-352
353,V_11-353,V_12-353
354,V_11-354,V_12-354
355,V_11-355,V_12-355
356,V_11-356,V_12-356
357,V_11-357,V_12-357
358,V_11-358,V_12-358
359,V_11-359,V_12-359
360,V_11-360,V_12-360
361,V_11-361,V_12-361
362,V_11-362,V_12-362
363,V_11-363,V_12-363
364,V_11-364,V_12-364
365,V_11-365,V_12-365
366,V_11-366,V_12-366
367,V_11-367,V_12-367
368,V_11-368,V_12-368
369,V_11-369,V_12-369
370,V_11-370,V_12-370
371,V_11-371,V_12-371
372,V_11-372,V_12-372
373,V_11-373,V_12-373
374,V_11-374,V_12-374
375,V_11-375,V_12-375
376,V_11-376,V_12-376
377,V_11-377,V_12-377
378,V_11-378,V_12-378
379,V_11-379,V_12-379
380,V_11-380,V_12-380
381,V_11-381,V_12-381
382,V_11-382,V_12-382
383,V_11-383,V_12-383
384,V_11-384,V_12-384
385,V_11-385,V_12-385
386,V_11-386,V_12-386
387,V_11-387,V_12-387
388,V_11-388,V_12-388
389,V_11-389,V_12-389
390,V_11-390,V_12-390
391,V_11-391,V_12-391
392,V_11-392,V_12-392
393,V_11-393,V_12-393
394,V_11-394,V_12-394
395,V_11-395,V_12-395
396,V_11-396,V_12-396
397,V_11-397,V_12-397
398,V_11-398,V_12-398
399,V_11-399,V_12-399
400,V_11-400,V_12-400
401,V_11-401,V_12-401
402,V_11-402,V_12-402
403,V_11-403,V_12-403
404,V_11-404,V_12-404
405,V_11-405,V_12-405
406,V_11-406,V_12-406
407,V_11-407,V_12-407
408,V_11-408,V_12-408
409,V_11-409,V_12-409
410,V_11-410,V_12-410
411,V_11-411,V_12-411
412,V_11-412,V_12-412
413,V_11-413,V_12-413
414,V_11-414,V_12-414
415,V_11-415,V_12-415
416,V_11-416,V_12-416
417,V_11-417,V_12-417
418,V_11-418,V_12-418
419,V_11-419,V_12-419
420,V_11-420,V_12-420
421,V_11-421,V_12-421
422,V_11-422,V_12-422
423,V_11-423,V_12-423
424,V_11-424,V_12-424
425,V_11-425,V_12-425
426,V_11-426,V_12-426
427,V_11-427,V_12-427
428,V_11-428,V_12-428
429,V_11-429,V_12-429
430,V_11-430,V_12-430
431,V_11-431,V_12-431
432,V_11-432,V_12-432
433,V_11-433,V_12-433
434,V_11-434,V_12-434
435,V_11-435,V_12-435
436,V_11-436,V_12-436
437,V_11-437,V_12-437
438,V_11-438,V_12-438
439,V_11-439,V_12-439
440,V_11-440,V_12-440
441,V_11-441,V_12-441
442,V_11-442,V_12-442
443,V_11-443,V_12-443
444,V_11-444,V_12-444
445,V_11-445,V_12-445
446,V_11-446,V_12-446
447,V_11-447,V_12-447
448,V_11-448,V_12-448
449,V_11-449,V_12-449
450,V_11-450,V_12-450
451,V_11-451,V_12-451
452,V_11-452,V_12-452
453,V_11-453,V_12-453
454,V_11-454,V_12-454
455,V_11-455,V_12-455
456,V_11-456,V_12-456
457,V_11-457,V_12-457
458,V_11-458,V_12-458
459,V_11-459,V_12-459
460,V_11-460,V_12-460
461,V_11-461,V_12-461
462,V_11-462,V_12-462
463,V_11-463,V_12-463
464,V_11-464,V_12-464
465,V_11-465,V_12-465
466,V_11-466,V_12-466
467,V_11-467,V_12-467
468,V_11-468,V_12-468
469,V_11-469,V_12-469
470,V_11-470,V_12-470
471,V_11-471,V_12-471
472,V_11-472,V_12-472
473,V_11-473,V_12-473
474,V_11-474,V_12-474
475,V_11-475,V_12-475
476,V_11-476,V_12-476
477,V_11-477,V_12-477
478,V_11-478,V_12-478
479,V_11-479,V_12-479
480,V_11-480,V_12-480
481,V_11-481,V_12-481
482,V_11-482,V_12-482
483,V_11-483,V_12-483
484,V_11-484,V_12-484
485,V_11-485,V_12-485
486,V_11-486,V_12-486
487,V_11-487,V_12-487
488,V_11-488,V_12-488
489,V_11-489,V_12-489
490,V_11-490,V_12-490
491,V_11-491,V_12-491
492,V_11-492,V_12-492
493,V_11-493,V_12-493
494,V_11-494,V_12-494
495,V_11-495,V_12-495
496,V_11-496,V_12-496
497,V_11-497,V_12-497
498,V_11-498,V_12-498
499,V_11-499,V_12-499
500,V_11-500,V_12-500
501,V_11-501,V_12-501
502,V_11-502,V_12-502
503,V_11-503,V_12-503
504,V_11-504,V_12-504
505,V_11-505,V_12-505
506,V_11-506,V_12-506
507,V_11-507,V_12-507
508,V_11-508,V_12-508
509,V_11-509,V_12-509
510,V_11-510,V_12-510
511,V_11-511,V_12-511
512,V_11-512,V_12-512
513,V_11-513,V_12-513
514,V_11-514,V_12-514
515,V_11-515,V_12-515
516,V_11-516,V_12-516
517,V_11-517,V_12-517
518,V_11-518,V_12-518
519,V_11-519,V_12-519
520,V_11-520,V_12-520
521,V_11-521,V_12-521
522,V_11-522,V_12-522
523,V_11-523,V_12-523
524,V_11-524,V_12-524
525,V_11-525,V_12-525
526,V_11-526,V_12-526
527,V_11-527,V_12-527
528,V_11-528,V_12-528
529,V_11-529,V_12-529
530,V_11-530,V_12-530
531,V_11-531,V_12-531
532,V_11-532,V_12-532
533,V_11-533,V_12-533
534,V_11-534,V_12-534
535,V_11-535,V_12-535
536,V_11-536,V_12-536
537,V_11-537,V_12-537
538,V_11-538,V_12-538
539,V_11-539,V_12-539
540,V_11-540,V_12-540
541,V_11-541,V_12-541
542,V_11-542,V_12-542
543,V_11-543,V_12-543
544,V_11-544,V_12-544
545,V_11-545,V_12-545
546,V_11-546,V_12-546
547,V_11-547,V_12-547
548,V_11-548,V_12-548
549,V_11-549,V_12-549
550,V_11-550,V_12-550
551,V_11-551,V_12-551
552,V_11-552,V_12-552
553,V_11-553,V_12-553
554,V_11-554,V_12-554
555,V_11-555,V_12-555
556,V_11-556,V_12-556
557,V_11-557,V_12-557
558,V_11-558,V_12-558
559,V_11-559,V_12-559
560,V_11-560,V_12-560
561,V_11-561,V_12-561
562,V_11-562,V_12-562
563,V_11-563,V_12-563
564,V_11-564,V_12-564
565,V_11-565,V_12-565
566,V_11-566,V_12-566
567,V_11-567,V_12-567
568,V_11-568,V_12-568
569,V_11-569,V_12-569
570,V_11-570,V_12-570
571,V_11-571,V_12-571
572,V_11-572,V_12-572
573,V_11-573,V_12-573
574,V_11-574,V_12-574
575,V_11-575,V_12-575
576,V_11-576,V_12-576
577,V_11-577,V_12-577
