ID,P12,P13
1,V_12-1,V_13-1
2,V_12-2,V_13-2
3,V_12-3,V_13-3
4,V_12-4,V_13-4
5,V_12-5,V_13-5
6,V_12-6,V_13-6
7,V_12-7,V_13-7
8,V_12-8,V_13-8
9,V_12-9,V_13-9
10,V_12-10,V_13-10
11,V_12-11,V_13-11
12,V_12-12,V_13-12
13,V_12-13,V_13-13
14,V_12-14,V_13-14
15,V_12-15,V_13-15
16,V_12-16,V_13-16
17,V_12-17,V_13-17
18,V_12-18,V_13-18
19,V_12-19,V_13-19
20,V_12-20,V_13-20
21,V_12-21,V_13-21
22,V_12-22,V_13-22
23,V_12-23,V_13-23
24,V_12-24,V_13-24
25,V_12-25,V_13-25
26,V_12-26,V_13-26
27,V_12-27,V_13-27
28,V_12-28,V_13-28
29,V_12-29,V_13-29
30,V_12-30,V_13-30
31,V_12-31,V_13-31
32,V_12-32,V_13-32
33,V_12-33,V_13-33
34,V_12-34,V_13-34
35,V_12-35,V_13-35
36,V_12-36,V_13-36
37,V_12-37,V_13-37
38,V_12-38,V_13-38
39,V_12-39,V_13-39
40,V_12-40,V_13-40
41,V_12-41,V_13-41
42,V_12-42,V_13-42
43,V_12-43,V_13-43
44,V_12-44,V_13-44
45,V_12-45,V_13-45
46,V_12-46,V_13-46
47,V_12-47,V_13-47
48,V_12-48,V_13-48
49,V_12-49,V_13-49
50,V_12-50,V_13-50
51,V_12-51,V_13-51
52,V_12-52,V_13-52
53,V_12-53,V_13-53
54,V_12-54,V_13-54
55,V_12-55,V_13-55
56,V_12-56,V_13-56
57,V_12-57,V_13-57
58,V_12-58,V_13-58
59,V_12-59,V_13-59
60,V_12-60,V_13-60
61,V_12-61,V_13-61
62,V_12-62,V_13-62
63,V_12-63,V_13-63
64,V_12-64,V_13-64
65,V_12-65,V_13-65
66,V_12-66,V_13-66
67,V_12-67,V_13-67
68,V_12-68,V_13-68
69,V_12-69,V_13-69
70,V_12-70,V_13-70
71,V_12-71,V_13-71
72,V_12-72,V_13-72
73,V_12-73,V_13-73
74,V_12-74,V_13-74
75,V_12-75,V_13-75
76,V_12-76,V_13-76
77,V_12-77,V_13-77
78,V_12-78,V_13-78
79,V_12-79,V_13-79
80,V_12-80,V_13-80
81,V_12-81,V_13-81
82,V_12-82,V_13-82
83,V_12-83,V_13-83
84,V_12-84,V_13-84
85,V_12-85,V_13-85
86,V_12-86,V_13-86
87,V_12-87,V_13-87
88,V_12-88,V_13-88
89,V_12-89,V_13-89
90,V_12-90,V_13-90
91,V_12-91,V_13-91
92,V_12-92,V_13-92
93,V_12-93,V_13-93
94,V_12-94,V_13-94
95,V_12-95,V_13-95
96,V_12-96,V_13-96
97,V_12-97,V_13-97
98,V_12-98,V_13-98
99,V_12-99,V_13-99
100,V_12-100,V_13-100
101,V_12-101,V_13-101
102,V_12-102,V_13-102
103,V_12-103,V_13-103
104,V_12-104,V_13-104
105,V_12-105,V_13-105
106,V_12-106,V_13-106
107,V_12-107,V_13-107
108,V_12-108,V_13-108
109,V_12-109,V_13-109
110,V_12-110,V_13-110
111,V_12-111,V_13-111
112,V_12-112,V_13-112
113,V_12-113,V_13-113
114,V_12-114,V_13-114
115,V_12-115,V_13-115
116,V_12-116,V_13-116
117,V_12-117,V_13-117
118,V_12-118,V_13-118
119,V_12-119,V_13-119
120,V_12-120,V_13-120
121,V_12-121,V_13-121
