ID,P28,P29
1,V_28-1,V_29-1
2,V_28-2,V_29-2
3,V_28-3,V_29-3
4,V_28-4,V_29-4
5,V_28-5,V_29-5
6,V_28-6,V_29-6
7,V_28-7,V_29-7
8,V_28-8,V_29-8
9,V_28-9,V_29-9
10,V_28-10,V_29-10
11,V_28-11,V_29-11
12,V_28-12,V_29-12
13,V_28-13,V_29-13
14,V_28-14,V_29-14
15,V_28-15,V_29-15
16,V_28-16,V_29-16
17,V_28-17,V_29-17
18,V_28-18,V_29-18
19,V_28-19,V_29-19
20,V_28-20,V_29-20
21,V_28-21,V_29-21
22,V_28-22,V_29-22
23,V_28-23,V_29-23
24,V_28-24,V_29-24
25,V_28-25,V_29-25
26,V_28-26,V_29-26
27,V_28-27,V_29-27
28,V_28-28,V_29-28
29,V_28-29,V_29-29
30,V_28-30,V_29-30
31,V_28-31,V_29-31
32,V_28-32,V_29-32
33,V_28-33,V_29-33
34,V_28-34,V_29-34
35,V_28-35,V_29-35
36,V_28-36,V_29-36
37,V_28-37,V_29-37
38,V_28-38,V_29-38
39,V_28-39,V_29-39
40,V_28-40,V_29-40
41,V_28-41,V_29-41
42,V_28-42,V_29-42
43,V_28-43,V_29-43
44,V_28-44,V_29-44
45,V_28-45,V_29-45
46,V_28-46,V_29-46
47,V_28-47,V_29-47
48,V_28-48,V_29-48
49,V_28-49,V_29-49
50,V_28-50,V_29-50
51,V_28-51,V_29-51
52,V_28-52,V_29-52
53,V_28-53,V_29-53
54,V_28-54,V_29-54
55,V_28-55,V_29-55
56,V_28-56,V_29-56
57,V_28-57,V_29-57
58,V_28-58,V_29-58
59,V_28-59,V_29-59
60,V_28-60,V_29-60
61,V_28-61,V_29-61
62,V_28-62,V_29-62
63,V_28-63,V_29-63
64,V_28-64,V_29-64
65,V_28-65,V_29-65
66,V_28-66,V_29-66
67,V_28-67,V_29-67
68,V_28-68,V_29-68
69,V_28-69,V_29-69
70,V_28-70,V_29-70
71,V_28-71,V_29-71
72,V_28-72,V_29-72
73,V_28-73,V_29-73
74,V_28-74,V_29-74
75,V_28-75,V_29-75
76,V_28-76,V_29-76
77,V_28-77,V_29-77
78,V_28-78,V_29-78
79,V_28-79,V_29-79
80,V_28-80,V_29-80
81,V_28-81,V_29-81
82,V_28-82,V_29-82
83,V_28-83,V_29-83
84,V_28-84,V_29-84
85,V_28-85,V_29-85
86,V_28-86,V_29-86
87,V_28-87,V_29-87
88,V_28-88,V_29-88
89,V_28-89,V_29-89
90,V_28-90,V_29-90
91,V_28-91,V_29-91
92,V_28-92,V_29-92
93,V_28-93,V_29-93
94,V_28-94,V_29-94
95,V_28-95,V_29-95
96,V_28-96,V_29-96
97,V_28-97,V_29-97
98,V_28-98,V_29-98
99,V_28-99,V_29-99
100,V_28-100,V_29-100
101,V_28-101,V_29-101
102,V_28-102,V_29-102
103,V_28-103,V_29-103
104,V_28-104,V_29-104
105,V_28-105,V_29-105
106,V_28-106,V_29-106
107,V_28-107,V_29-107
108,V_28-108,V_29-108
109,V_28-109,V_29-109
110,V_28-110,V_29-110
111,V_28-111,V_29-111
112,V_28-112,V_29-112
113,V_28-113,V_29-113
114,V_28-114,V_29-114
115,V_28-115,V_29-115
116,V_28-116,V_29-116
117,V_28-117,V_29-117
118,V_28-118,V_29-118
119,V_28-119,V_29-119
120,V_28-120,V_29-120
121,V_28-121,V_29-121
122,V_28-122,V_29-122
123,V_28-123,V_29-123
124,V_28-124,V_29-124
125,V_28-125,V_29-125
126,V_28-126,V_29-126
127,V_28-127,V_29-127
128,V_28-128,V_29-128
129,V_28-129,V_29-129
130,V_28-130,V_29-130
131,V_28-131,V_29-131
132,V_28-132,V_29-132
133,V_28-133,V_29-133
134,V_28-134,V_29-134
135,V_28-135,V_29-135
136,V_28-136,V_29-136
137,V_28-137,V_29-137
138,V_28-138,V_29-138
139,V_28-139,V_29-139
140,V_28-140,V_29-140
141,V_28-141,V_29-141
142,V_28-142,V_29-142
143,V_28-143,V_29-143
144,V_28-144,V_29-144
145,V_28-145,V_29-145
146,V_28-146,V_29-146
147,V_28-147,V_29-147
148,V_28-148,V_29-148
149,V_28-149,V_29-149
150,V_28-150,V_29-150
151,V_28-151,V_29-151
152,V_28-152,V_29-152
153,V_28-153,V_29-153
154,V_28-154,V_29-154
155,V_28-155,V_29-155
156,V_28-156,V_29-156
157,V_28-157,V_29-157
158,V_28-158,V_29-158
159,V_28-159,V_29-159
160,V_28-160,V_29-160
161,V_28-161,V_29-161
162,V_28-162,V_29-162
163,V_28-163,V_29-163
164,V_28-164,V_29-164
165,V_28-165,V_29-165
166,V_28-166,V_29-166
167,V_28-167,V_29-167
168,V_28-168,V_29-168
169,V_28-169,V_29-169
170,V_28-170,V_29-170
171,V_28-171,V_29-171
172,V_28-172,V_29-172
173,V_28-173,V_29-173
174,V_28-174,V_29-174
175,V_28-175,V_29-175
176,V_28-176,V_29-176
177,V_28-177,V_29-177
178,V_28-178,V_29-178
179,V_28-179,V_29-179
180,V_28-180,V_29-180
181,V_28-181,V_29-181
182,V_28-182,V_29-182
183,V_28-183,V_29-183
184,V_28-184,V_29-184
185,V_28-185,V_29-185
186,V_28-186,V_29-186
187,V_28-187,V_29-187
188,V_28-188,V_29-188
189,V_28-189,V_29-189
190,V_28-190,V_29-190
191,V_28-191,V_29-191
192,V_28-192,V_29-192
193,V_28-193,V_29-193
194,V_28-194,V_29-194
195,V_28-195,V_29-195
196,V_28-196,V_29-196
197,V_28-197,V_29-197
198,V_28-198,V_29-198
199,V_28-199,V_29-199
200,V_28-200,V_29-200
201,V_28-201,V_29-201
202,V_28-202,V_29-202
203,V_28-203,V_29-203
204,V_28-204,V_29-204
205,V_28-205,V_29-205
206,V_28-206,V_29-206
207,V_28-207,V_29-207
208,V_28-208,V_29-208
209,V_28-209,V_29-209
210,V_28-210,V_29-210
211,V_28-211,V_29-211
212,V_28-212,V_29-212
213,V_28-213,V_29-213
214,V_28-214,V_29-214
215,V_28-215,V_29-215
216,V_28-216,V_29-216
217,V_28-217,V_29-217
218,V_28-218,V_29-218
219,V_28-219,V_29-219
220,V_28-220,V_29-220
221,V_28-221,V_29-221
222,V_28-222,V_29-222
223,V_28-223,V_29-223
224,V_28-224,V_29-224
225,V_28-225,V_29-225
226,V_28-226,V_29-226
227,V_28-227,V_29-227
228,V_28-228,V_29-228
229,V_28-229,V_29-229
230,V_28-230,V_29-230
231,V_28-231,V_29-231
232,V_28-232,V_29-232
233,V_28-233,V_29-233
234,V_28-234,V_29-234
235,V_28-235,V_29-235
236,V_28-236,V_29-236
237,V_28-237,V_29-237
238,V_28-238,V_29-238
239,V_28-239,V_29-239
240,V_28-240,V_29-240
241,V_28-241,V_29-241
242,V_28-242,V_29-242
243,V_28-243,V_29-243
244,V_28-244,V_29-244
245,V_28-245,V_29-245
246,V_28-246,V_29-246
247,V_28-247,V_29-247
248,V_28-248,V_29-248
249,V_28-249,V_29-249
250,V_28-250,V_29-250
251,V_28-251,V_29-251
252,V_28-252,V_29-252
253,V_28-253,V_29-253
254,V_28-254,V_29-254
255,V_28-255,V_29-255
256,V_28-256,V_29-256
257,V_28-257,V_29-257
258,V_28-258,V_29-258
259,V_28-259,V_29-259
260,V_28-260,V_29-260
261,V_28-261,V_29-261
262,V_28-262,V_29-262
263,V_28-263,V_29-263
264,V_28-264,V_29-264
265,V_28-265,V_29-265
266,V_28-266,V_29-266
267,V_28-267,V_29-267
268,V_28-268,V_29-268
269,V_28-269,V_29-269
270,V_28-270,V_29-270
271,V_28-271,V_29-271
272,V_28-272,V_29-272
273,V_28-273,V_29-273
274,V_28-274,V_29-274
275,V_28-275,V_29-275
276,V_28-276,V_29-276
277,V_28-277,V_29-277
278,V_28-278,V_29-278
279,V_28-279,V_29-279
280,V_28-280,V_29-280
281,V_28-281,V_29-281
282,V_28-282,V_29-282
283,V_28-283,V_29-283
284,V_28-284,V_29-284
285,V_28-285,V_29-285
286,V_28-286,V_29-286
287,V_28-287,V_29-287
288,V_28-288,V_29-288
289,V_28-289,V_29-289
290,V_28-290,V_29-290
291,V_28-291,V_29-291
292,V_28-292,V_29-292
293,V_28-293,V_29-293
294,V_28-294,V_29-294
295,V_28-295,V_29-295
296,V_28-296,V_29-296
297,V_28-297,V_29-297
298,V_28-298,V_29-298
299,V_28-299,V_29-299
300,V_28-300,V_29-300
301,V_28-301,V_29-301
302,V_28-302,V_29-302
303,V_28-303,V_29-303
304,V_28-304,V_29-304
305,V_28-305,V_29-305
306,V_28-306,V_29-306
307,V_28-307,V_29-307
308,V_28-308,V_29-308
309,V_28-309,V_29-309
310,V_28-310,V_29-310
311,V_28-311,V_29-311
312,V_28-312,V_29-312
313,V_28-313,V_29-313
314,V_28-314,V_29-314
315,V_28-315,V_29-315
316,V_28-316,V_29-316
317,V_28-317,V_29-317
318,V_28-318,V_29-318
319,V_28-319,V_29-319
320,V_28-320,V_29-320
321,V_28-321,V_29-321
322,V_28-322,V_29-322
323,V_28-323,V_29-323
324,V_28-324,V_29-324
325,V_28-325,V_29-325
326,V_28-326,V_29-326
327,V_28-327,V_29-327
328,V_28-328,V_29-328
329,V_28-329,V_29-329
330,V_28-330,V_29-330
331,V_28-331,V_29-331
332,V_28-332,V_29-332
333,V_28-333,V_29-333
334,V_28-334,V_29-334
335,V_28-335,V_29-335
336,V_28-336,V_29-336
337,V_28-337,V_29-337
338,V_28-338,V_29-338
339,V_28-339,V_29-339
340,V_28-340,V_29-340
341,V_28-341,V_29-341
342,V_28-342,V_29-342
343,V_28-343,V_29-343
344,V_28-344,V_29-344
345,V_28-345,V_29-345
346,V_28-346,V_29-346
347,V_28-347,V_29-347
348,V_28-348,V_29-348
349,V_28-349,V_29-349
350,V_28-350,V_29-350
351,V_28-351,V_29-351
352,V_28-352,V_29-352
353,V_28-353,V_29-353
354,V_28-354,V_29-354
355,V_28-355,V_29-355
356,V_28-356,V_29-356
357,V_28-357,V_29-357
358,V_28-358,V_29-358
359,V_28-359,V_29-359
360,V_28-360,V_29-360
361,V_28-361,V_29-361
362,V_28-362,V_29-362
363,V_28-363,V_29-363
364,V_28-364,V_29-364
365,V_28-365,V_29-365
366,V_28-366,V_29-366
367,V_28-367,V_29-367
368,V_28-368,V_29-368
369,V_28-369,V_29-369
370,V_28-370,V_29-370
371,V_28-371,V_29-371
372,V_28-372,V_29-372
373,V_28-373,V_29-373
374,V_28-374,V_29-374
375,V_28-375,V_29-375
376,V_28-376,V_29-376
377,V_28-377,V_29-377
378,V_28-378,V_29-378
379,V_28-379,V_29-379
380,V_28-380,V_29-380
381,V_28-381,V_29-381
382,V_28-382,V_29-382
383,V_28-383,V_29-383
384,V_28-384,V_29-384
385,V_28-385,V_29-385
386,V_28-386,V_29-386
387,V_28-387,V_29-387
388,V_28-388,V_29-388
389,V_28-389,V_29-389
