ID,P20,P21
1,V_20-1,V_21-1
2,V_20-2,V_21-2
3,V_20-3,V_21-3
4,V_20-4,V_21-4
5,V_20-5,V_21-5
6,V_20-6,V_21-6
7,V_20-7,V_21-7
8,V_20-8,V_21-8
9,V_20-9,V_21-9
10,V_20-10,V_21-10
11,V_20-11,V_21-11
12,V_20-12,V_21-12
13,V_20-13,V_21-13
14,V_20-14,V_21-14
15,V_20-15,V_21-15
16,V_20-16,V_21-16
17,V_20-17,V_21-17
18,V_20-18,V_21-18
19,V_20-19,V_21-19
20,V_20-20,V_21-20
21,V_20-21,V_21-21
22,V_20-22,V_21-22
23,V_20-23,V_21-23
24,V_20-24,V_21-24
25,V_20-25,V_21-25
26,V_20-26,V_21-26
27,V_20-27,V_21-27
28,V_20-28,V_21-28
29,V_20-29,V_21-29
30,V_20-30,V_21-30
31,V_20-31,V_21-31
32,V_20-32,V_21-32
33,V_20-33,V_21-33
34,V_20-34,V_21-34
35,V_20-35,V_21-35
36,V_20-36,V_21-36
37,V_20-37,V_21-37
38,V_20-38,V_21-38
39,V_20-39,V_21-39
40,V_20-40,V_21-40
41,V_20-41,V_21-41
42,V_20-42,V_21-42
43,V_20-43,V_21-43
44,V_20-44,V_21-44
45,V_20-45,V_21-45
46,V_20-46,V_21-46
47,V_20-47,V_21-47
48,V_20-48,V_21-48
49,V_20-49,V_21-49
50,V_20-50,V_21-50
51,V_20-51,V_21-51
52,V_20-52,V_21-52
53,V_20-53,V_21-53
54,V_20-54,V_21-54
55,V_20-55,V_21-55
56,V_20-56,V_21-56
57,V_20-57,V_21-57
58,V_20-58,V_21-58
59,V_20-59,V_21-59
60,V_20-60,V_21-60
61,V_20-61,V_21-61
62,V_20-62,V_21-62
63,V_20-63,V_21-63
64,V_20-64,V_21-64
65,V_20-65,V_21-65
66,V_20-66,V_21-66
67,V_20-67,V_21-67
68,V_20-68,V_21-68
69,V_20-69,V_21-69
70,V_20-70,V_21-70
71,V_20-71,V_21-71
72,V_20-72,V_21-72
73,V_20-73,V_21-73
74,V_20-74,V_21-74
75,V_20-75,V_21-75
76,V_20-76,V_21-76
77,V_20-77,V_21-77
78,V_20-78,V_21-78
79,V_20-79,V_21-79
80,V_20-80,V_21-80
81,V_20-81,V_21-81
82,V_20-82,V_21-82
83,V_20-83,V_21-83
84,V_20-84,V_21-84
85,V_20-85,V_21-85
86,V_20-86,V_21-86
87,V_20-87,V_21-87
88,V_20-88,V_21-88
89,V_20-89,V_21-89
90,V_20-90,V_21-90
91,V_20-91,V_21-91
92,V_20-92,V_21-92
93,V_20-93,V_21-93
94,V_20-94,V_21-94
95,V_20-95,V_21-95
96,V_20-96,V_21-96
97,V_20-97,V_21-97
98,V_20-98,V_21-98
99,V_20-99,V_21-99
100,V_20-100,V_21-100
101,V_20-101,V_21-101
102,V_20-102,V_21-102
103,V_20-103,V_21-103
104,V_20-104,V_21-104
105,V_20-105,V_21-105
106,V_20-106,V_21-106
107,V_20-107,V_21-107
108,V_20-108,V_21-108
109,V_20-109,V_21-109
110,V_20-110,V_21-110
111,V_20-111,V_21-111
112,V_20-112,V_21-112
113,V_20-113,V_21-113
114,V_20-114,V_21-114
115,V_20-115,V_21-115
116,V_20-116,V_21-116
117,V_20-117,V_21-117
118,V_20-118,V_21-118
119,V_20-119,V_21-119
120,V_20-120,V_21-120
121,V_20-121,V_21-121
122,V_20-122,V_21-122
123,V_20-123,V_21-123
124,V_20-124,V_21-124
125,V_20-125,V_21-125
126,V_20-126,V_21-126
127,V_20-127,V_21-127
128,V_20-128,V_21-128
129,V_20-129,V_21-129
130,V_20-130,V_21-130
131,V_20-131,V_21-131
132,V_20-132,V_21-132
133,V_20-133,V_21-133
134,V_20-134,V_21-134
135,V_20-135,V_21-135
136,V_20-136,V_21-136
137,V_20-137,V_21-137
138,V_20-138,V_21-138
139,V_20-139,V_21-139
140,V_20-140,V_21-140
141,V_20-141,V_21-141
142,V_20-142,V_21-142
143,V_20-143,V_21-143
