ID,P04,P05
1,V_4-1,V_5-1
2,V_4-2,V_5-2
3,V_4-3,V_5-3
4,V_4-4,V_5-4
5,V_4-5,V_5-5
6,V_4-6,V_5-6
7,V_4-7,V_5-7
8,V_4-8,V_5-8
9,V_4-9,V_5-9
10,V_4-10,V_5-10
11,V_4-11,V_5-11
12,V_4-12,V_5-12
13,V_4-13,V_5-13
14,V_4-14,V_5-14
15,V_4-15,V_5-15
16,V_4-16,V_5-16
17,V_4-17,V_5-17
18,V_4-18,V_5-18
19,V_4-19,V_5-19
20,V_4-20,V_5-20
21,V_4-21,V_5-21
22,V_4-22,V_5-22
23,V_4-23,V_5-23
24,V_4-24,V_5-24
25,V_4-25,V_5-25
26,V_4-26,V_5-26
27,V_4-27,V_5-27
28,V_4-28,V_5-28
29,V_4-29,V_5-29
30,V_4-30,V_5-30
31,V_4-31,V_5-31
32,V_4-32,V_5-32
33,V_4-33,V_5-33
34,V_4-34,V_5-34
35,V_4-35,V_5-35
36,V_4-36,V_5-36
37,V_4-37,V_5-37
38,V_4-38,V_5-38
39,V_4-39,V_5-39
40,V_4-40,V_5-40
41,V_4-41,V_5-41
42,V_4-42,V_5-42
43,V_4-43,V_5-43
44,V_4-44,V_5-44
45,V_4-45,V_5-45
46,V_4-46,V_5-46
47,V_4-47,V_5-47
48,V_4-48,V_5-48
49,V_4-49,V_5-49
50,V_4-50,V_5-50
51,V_4-51,V_5-51
52,V_4-52,V_5-52
53,V_4-53,V_5-53
54,V_4-54,V_5-54
55,V_4-55,V_5-55
56,V_4-56,V_5-56
57,V_4-57,V_5-57
58,V_4-58,V_5-58
59,V_4-59,V_5-59
60,V_4-60,V_5-60
61,V_4-61,V_5-61
62,V_4-62,V_5-62
63,V_4-63,V_5-63
64,V_4-64,V_5-64
65,V_4-65,V_5-65
66,V_4-66,V_5-66
67,V_4-67,V_5-67
68,V_4-68,V_5-68
69,V_4-69,V_5-69
70,V_4-70,V_5-70
71,V_4-71,V_5-71
72,V_4-72,V_5-72
73,V_4-73,V_5-73
74,V_4-74,V_5-74
75,V_4-75,V_5-75
76,V_4-76,V_5-76
77,V_4-77,V_5-77
78,V_4-78,V_5-78
79,V_4-79,V_5-79
80,V_4-80,V_5-80
81,V_4-81,V_5-81
82,V_4-82,V_5-82
83,V_4-83,V_5-83
84,V_4-84,V_5-84
85,V_4-85,V_5-85
86,V_4-86,V_5-86
87,V_4-87,V_5-87
88,V_4-88,V_5-88
89,V_4-89,V_5-89
90,V_4-90,V_5-90
91,V_4-91,V_5-91
92,V_4-92,V_5-92
93,V_4-93,V_5-93
94,V_4-94,V_5-94
95,V_4-95,V_5-95
96,V_4-96,V_5-96
97,V_4-97,V_5-97
98,V_4-98,V_5-98
99,V_4-99,V_5-99
100,V_4-100,V_5-100
101,V_4-101,V_5-101
102,V_4-102,V_5-102
103,V_4-103,V_5-103
104,V_4-104,V_5-104
105,V_4-105,V_5-105
106,V_4-106,V_5-106
107,V_4-107,V_5-107
108,V_4-108,V_5-108
109,V_4-109,V_5-109
110,V_4-110,V_5-110
111,V_4-111,V_5-111
112,V_4-112,V_5-112
113,V_4-113,V_5-113
114,V_4-114,V_5-114
115,V_4-115,V_5-115
116,V_4-116,V_5-116
117,V_4-117,V_5-117
118,V_4-118,V_5-118
119,V_4-119,V_5-119
120,V_4-120,V_5-120
121,V_4-121,V_5-121
122,V_4-122,V_5-122
123,V_4-123,V_5-123
124,V_4-124,V_5-124
125,V_4-125,V_5-125
126,V_4-126,V_5-126
127,V_4-127,V_5-127
128,V_4-128,V_5-128
129,V_4-129,V_5-129
130,V_4-130,V_5-130
131,V_4-131,V_5-131
132,V_4-132,V_5-132
133,V_4-133,V_5-133
134,V_4-134,V_5-134
135,V_4-135,V_5-135
136,V_4-136,V_5-136
137,V_4-137,V_5-137
138,V_4-138,V_5-138
139,V_4-139,V_5-139
140,V_4-140,V_5-140
141,V_4-141,V_5-141
142,V_4-142,V_5-142
143,V_4-143,V_5-143
144,V_4-144,V_5-144
145,V_4-145,V_5-145
146,V_4-146,V_5-146
147,V_4-147,V_5-147
148,V_4-148,V_5-148
149,V_4-149,V_5-149
150,V_4-150,V_5-150
151,V_4-151,V_5-151
152,V_4-152,V_5-152
153,V_4-153,V_5-153
154,V_4-154,V_5-154
155,V_4-155,V_5-155
156,V_4-156,V_5-156
157,V_4-157,V_5-157
158,V_4-158,V_5-158
159,V_4-159,V_5-159
160,V_4-160,V_5-160
161,V_4-161,V_5-161
162,V_4-162,V_5-162
163,V_4-163,V_5-163
164,V_4-164,V_5-164
165,V_4-165,V_5-165
166,V_4-166,V_5-166
167,V_4-167,V_5-167
168,V_4-168,V_5-168
169,V_4-169,V_5-169
170,V_4-170,V_5-170
171,V_4-171,V_5-171
172,V_4-172,V_5-172
173,V_4-173,V_5-173
174,V_4-174,V_5-174
175,V_4-175,V_5-175
176,V_4-176,V_5-176
177,V_4-177,V_5-177
178,V_4-178,V_5-178
179,V_4-179,V_5-179
180,V_4-180,V_5-180
181,V_4-181,V_5-181
182,V_4-182,V_5-182
183,V_4-183,V_5-183
184,V_4-184,V_5-184
185,V_4-185,V_5-185
186,V_4-186,V_5-186
187,V_4-187,V_5-187
188,V_4-188,V_5-188
189,V_4-189,V_5-189
190,V_4-190,V_5-190
191,V_4-191,V_5-191
192,V_4-192,V_5-192
193,V_4-193,V_5-193
194,V_4-194,V_5-194
195,V_4-195,V_5-195
196,V_4-196,V_5-196
197,V_4-197,V_5-197
198,V_4-198,V_5-198
199,V_4-199,V_5-199
200,V_4-200,V_5-200
201,V_4-201,V_5-201
202,V_4-202,V_5-202
203,V_4-203,V_5-203
204,V_4-204,V_5-204
205,V_4-205,V_5-205
206,V_4-206,V_5-206
207,V_4-207,V_5-207
208,V_4-208,V_5-208
209,V_4-209,V_5-209
210,V_4-210,V_5-210
211,V_4-211,V_5-211
212,V_4-212,V_5-212
213,V_4-213,V_5-213
214,V_4-214,V_5-214
215,V_4-215,V_5-215
216,V_4-216,V_5-216
217,V_4-217,V_5-217
218,V_4-218,V_5-218
