ID,P24,P25
1,V_24-1,V_25-1
2,V_24-2,V_25-2
3,V_24-3,V_25-3
4,V_24-4,V_25-4
5,V_24-5,V_25-5
6,V_24-6,V_25-6
7,V_24-7,V_25-7
8,V_24-8,V_25-8
9,V_24-9,V_25-9
10,V_24-10,V_25-10
11,V_24-11,V_25-11
12,V_24-12,V_25-12
13,V_24-13,V_25-13
14,V_24-14,V_25-14
15,V_24-15,V_25-15
16,V_24-16,V_25-16
17,V_24-17,V_25-17
18,V_24-18,V_25-18
19,V_24-19,V_25-19
20,V_24-20,V_25-20
21,V_24-21,V_25-21
22,V_24-22,V_25-22
23,V_24-23,V_25-23
24,V_24-24,V_25-24
25,V_24-25,V_25-25
26,V_24-26,V_25-26
27,V_24-27,V_25-27
28,V_24-28,V_25-28
29,V_24-29,V_25-29
30,V_24-30,V_25-30
31,V_24-31,V_25-31
32,V_24-32,V_25-32
33,V_24-33,V_25-33
34,V_24-34,V_25-34
35,V_24-35,V_25-35
36,V_24-36,V_25-36
37,V_24-37,V_25-37
38,V_24-38,V_25-38
39,V_24-39,V_25-39
40,V_24-40,V_25-40
41,V_24-41,V_25-41
42,V_24-42,V_25-42
43,V_24-43,V_25-43
44,V_24-44,V_25-44
45,V_24-45,V_25-45
46,V_24-46,V_25-46
47,V_24-47,V_25-47
48,V_24-48,V_25-48
49,V_24-49,V_25-49
50,V_24-50,V_25-50
51,V_24-51,V_25-51
52,V_24-52,V_25-52
53,V_24-53,V_25-53
54,V_24-54,V_25-54
55,V_24-55,V_25-55
56,V_24-56,V_25-56
57,V_24-57,V_25-57
58,V_24-58,V_25-58
59,V_24-59,V_25-59
60,V_24-60,V_25-60
61,V_24-61,V_25-61
62,V_24-62,V_25-62
63,V_24-63,V_25-63
64,V_24-64,V_25-64
65,V_24-65,V_25-65
66,V_24-66,V_25-66
67,V_24-67,V_25-67
68,V_24-68,V_25-68
69,V_24-69,V_25-69
70,V_24-70,V_25-70
71,V_24-71,V_25-71
72,V_24-72,V_25-72
73,V_24-73,V_25-73
74,V_24-74,V_25-74
75,V_24-75,V_25-75
76,V_24-76,V_25-76
77,V_24-77,V_25-77
78,V_24-78,V_25-78
