ID,P03,P04
1,V_3-1,V_4-1
2,V_3-2,V_4-2
3,V_3-3,V_4-3
4,V_3-4,V_4-4
5,V_3-5,V_4-5
6,V_3-6,V_4-6
7,V_3-7,V_4-7
8,V_3-8,V_4-8
9,V_3-9,V_4-9
10,V_3-10,V_4-10
11,V_3-11,V_4-11
12,V_3-12,V_4-12
13,V_3-13,V_4-13
14,V_3-14,V_4-14
15,V_3-15,V_4-15
16,V_3-16,V_4-16
17,V_3-17,V_4-17
18,V_3-18,V_4-18
19,V_3-19,V_4-19
20,V_3-20,V_4-20
21,V_3-21,V_4-21
22,V_3-22,V_4-22
23,V_3-23,V_4-23
24,V_3-24,V_4-24
25,V_3-25,V_4-25
26,V_3-26,V_4-26
27,V_3-27,V_4-27
28,V_3-28,V_4-28
29,V_3-29,V_4-29
30,V_3-30,V_4-30
31,V_3-31,V_4-31
32,V_3-32,V_4-32
33,V_3-33,V_4-33
34,V_3-34,V_4-34
35,V_3-35,V_4-35
36,V_3-36,V_4-36
37,V_3-37,V_4-37
38,V_3-38,V_4-38
39,V_3-39,V_4-39
40,V_3-40,V_4-40
41,V_3-41,V_4-41
42,V_3-42,V_4-42
43,V_3-43,V_4-43
44,V_3-44,V_4-44
45,V_3-45,V_4-45
46,V_3-46,V_4-46
47,V_3-47,V_4-47
48,V_3-48,V_4-48
49,V_3-49,V_4-49
50,V_3-50,V_4-50
51,V_3-51,V_4-51
52,V_3-52,V_4-52
53,V_3-53,V_4-53
54,V_3-54,V_4-54
55,V_3-55,V_4-55
56,V_3-56,V_4-56
57,V_3-57,V_4-57
58,V_3-58,V_4-58
59,V_3-59,V_4-59
60,V_3-60,V_4-60
61,V_3-61,V_4-61
62,V_3-62,V_4-62
63,V_3-63,V_4-63
64,V_3-64,V_4-64
65,V_3-65,V_4-65
66,V_3-66,V_4-66
67,V_3-67,V_4-67
68,V_3-68,V_4-68
69,V_3-69,V_4-69
70,V_3-70,V_4-70
71,V_3-71,V_4-71
72,V_3-72,V_4-72
73,V_3-73,V_4-73
74,V_3-74,V_4-74
75,V_3-75,V_4-75
76,V_3-76,V_4-76
77,V_3-77,V_4-77
78,V_3-78,V_4-78
79,V_3-79,V_4-79
80,V_3-80,V_4-80
81,V_3-81,V_4-81
82,V_3-82,V_4-82
83,V_3-83,V_4-83
84,V_3-84,V_4-84
85,V_3-85,V_4-85
86,V_3-86,V_4-86
87,V_3-87,V_4-87
88,V_3-88,V_4-88
89,V_3-89,V_4-89
90,V_3-90,V_4-90
91,V_3-91,V_4-91
92,V_3-92,V_4-92
93,V_3-93,V_4-93
94,V_3-94,V_4-94
95,V_3-95,V_4-95
96,V_3-96,V_4-96
97,V_3-97,V_4-97
98,V_3-98,V_4-98
99,V_3-99,V_4-99
100,V_3-100,V_4-100
101,V_3-101,V_4-101
102,V_3-102,V_4-102
103,V_3-103,V_4-103
104,V_3-104,V_4-104
105,V_3-105,V_4-105
106,V_3-106,V_4-106
107,V_3-107,V_4-107
108,V_3-108,V_4-108
109,V_3-109,V_4-109
110,V_3-110,V_4-110
111,V_3-111,V_4-111
112,V_3-112,V_4-112
113,V_3-113,V_4-113
114,V_3-114,V_4-114
115,V_3-115,V_4-115
116,V_3-116,V_4-116
117,V_3-117,V_4-117
118,V_3-118,V_4-118
119,V_3-119,V_4-119
120,V_3-120,V_4-120
121,V_3-121,V_4-121
122,V_3-122,V_4-122
123,V_3-123,V_4-123
124,V_3-124,V_4-124
125,V_3-125,V_4-125
126,V_3-126,V_4-126
127,V_3-127,V_4-127
128,V_3-128,V_4-128
129,V_3-129,V_4-129
130,V_3-130,V_4-130
131,V_3-131,V_4-131
132,V_3-132,V_4-132
133,V_3-133,V_4-133
134,V_3-134,V_4-134
135,V_3-135,V_4-135
136,V_3-136,V_4-136
137,V_3-137,V_4-137
138,V_3-138,V_4-138
139,V_3-139,V_4-139
140,V_3-140,V_4-140
141,V_3-141,V_4-141
142,V_3-142,V_4-142
143,V_3-143,V_4-143
144,V_3-144,V_4-144
145,V_3-145,V_4-145
146,V_3-146,V_4-146
147,V_3-147,V_4-147
148,V_3-148,V_4-148
149,V_3-149,V_4-149
150,V_3-150,V_4-150
151,V_3-151,V_4-151
152,V_3-152,V_4-152
153,V_3-153,V_4-153
154,V_3-154,V_4-154
155,V_3-155,V_4-155
156,V_3-156,V_4-156
157,V_3-157,V_4-157
158,V_3-158,V_4-158
159,V_3-159,V_4-159
160,V_3-160,V_4-160
161,V_3-161,V_4-161
162,V_3-162,V_4-162
163,V_3-163,V_4-163
164,V_3-164,V_4-164
165,V_3-165,V_4-165
166,V_3-166,V_4-166
167,V_3-167,V_4-167
