ID,P05,P06
1,V_5-1,V_6-1
2,V_5-2,V_6-2
3,V_5-3,V_6-3
4,V_5-4,V_6-4
5,V_5-5,V_6-5
6,V_5-6,V_6-6
7,V_5-7,V_6-7
8,V_5-8,V_6-8
9,V_5-9,V_6-9
10,V_5-10,V_6-10
11,V_5-11,V_6-11
12,V_5-12,V_6-12
13,V_5-13,V_6-13
14,V_5-14,V_6-14
15,V_5-15,V_6-15
16,V_5-16,V_6-16
17,V_5-17,V_6-17
18,V_5-18,V_6-18
19,V_5-19,V_6-19
20,V_5-20,V_6-20
21,V_5-21,V_6-21
22,V_5-22,V_6-22
23,V_5-23,V_6-23
24,V_5-24,V_6-24
25,V_5-25,V_6-25
26,V_5-26,V_6-26
27,V_5-27,V_6-27
28,V_5-28,V_6-28
29,V_5-29,V_6-29
30,V_5-30,V_6-30
31,V_5-31,V_6-31
32,V_5-32,V_6-32
33,V_5-33,V_6-33
34,V_5-34,V_6-34
35,V_5-35,V_6-35
36,V_5-36,V_6-36
37,V_5-37,V_6-37
38,V_5-38,V_6-38
39,V_5-39,V_6-39
40,V_5-40,V_6-40
41,V_5-41,V_6-41
42,V_5-42,V_6-42
43,V_5-43,V_6-43
44,V_5-44,V_6-44
45,V_5-45,V_6-45
46,V_5-46,V_6-46
47,V_5-47,V_6-47
48,V_5-48,V_6-48
49,V_5-49,V_6-49
50,V_5-50,V_6-50
51,V_5-51,V_6-51
52,V_5-52,V_6-52
53,V_5-53,V_6-53
54,V_5-54,V_6-54
55,V_5-55,V_6-55
56,V_5-56,V_6-56
57,V_5-57,V_6-57
58,V_5-58,V_6-58
59,V_5-59,V_6-59
60,V_5-60,V_6-60
61,V_5-61,V_6-61
62,V_5-62,V_6-62
63,V_5-63,V_6-63
64,V_5-64,V_6-64
65,V_5-65,V_6-65
66,V_5-66,V_6-66
67,V_5-67,V_6-67
68,V_5-68,V_6-68
69,V_5-69,V_6-69
70,V_5-70,V_6-70
71,V_5-71,V_6-71
72,V_5-72,V_6-72
73,V_5-73,V_6-73
74,V_5-74,V_6-74
75,V_5-75,V_6-75
76,V_5-76,V_6-76
77,V_5-77,V_6-77
78,V_5-78,V_6-78
79,V_5-79,V_6-79
80,V_5-80,V_6-80
81,V_5-81,V_6-81
82,V_5-82,V_6-82
83,V_5-83,V_6-83
84,V_5-84,V_6-84
85,V_5-85,V_6-85
86,V_5-86,V_6-86
87,V_5-87,V_6-87
88,V_5-88,V_6-88
89,V_5-89,V_6-89
90,V_5-90,V_6-90
91,V_5-91,V_6-91
92,V_5-92,V_6-92
93,V_5-93,V_6-93
94,V_5-94,V_6-94
95,V_5-95,V_6-95
96,V_5-96,V_6-96
97,V_5-97,V_6-97
98,V_5-98,V_6-98
99,V_5-99,V_6-99
100,V_5-100,V_6-100
101,V_5-101,V_6-101
102,V_5-102,V_6-102
103,V_5-103,V_6-103
104,V_5-104,V_6-104
105,V_5-105,V_6-105
106,V_5-106,V_6-106
107,V_5-107,V_6-107
108,V_5-108,V_6-108
109,V_5-109,V_6-109
110,V_5-110,V_6-110
111,V_5-111,V_6-111
112,V_5-112,V_6-112
113,V_5-113,V_6-113
114,V_5-114,V_6-114
115,V_5-115,V_6-115
116,V_5-116,V_6-116
117,V_5-117,V_6-117
118,V_5-118,V_6-118
119,V_5-119,V_6-119
120,V_5-120,V_6-120
121,V_5-121,V_6-121
122,V_5-122,V_6-122
123,V_5-123,V_6-123
124,V_5-124,V_6-124
125,V_5-125,V_6-125
126,V_5-126,V_6-126
127,V_5-127,V_6-127
128,V_5-128,V_6-128
129,V_5-129,V_6-129
130,V_5-130,V_6-130
131,V_5-131,V_6-131
132,V_5-132,V_6-132
133,V_5-133,V_6-133
134,V_5-134,V_6-134
135,V_5-135,V_6-135
136,V_5-136,V_6-136
137,V_5-137,V_6-137
138,V_5-138,V_6-138
139,V_5-139,V_6-139
140,V_5-140,V_6-140
141,V_5-141,V_6-141
142,V_5-142,V_6-142
143,V_5-143,V_6-143
144,V_5-144,V_6-144
145,V_5-145,V_6-145
146,V_5-146,V_6-146
147,V_5-147,V_6-147
148,V_5-148,V_6-148
149,V_5-149,V_6-149
150,V_5-150,V_6-150
151,V_5-151,V_6-151
152,V_5-152,V_6-152
153,V_5-153,V_6-153
154,V_5-154,V_6-154
155,V_5-155,V_6-155
156,V_5-156,V_6-156
157,V_5-157,V_6-157
158,V_5-158,V_6-158
159,V_5-159,V_6-159
160,V_5-160,V_6-160
161,V_5-161,V_6-161
162,V_5-162,V_6-162
163,V_5-163,V_6-163
164,V_5-164,V_6-164
165,V_5-165,V_6-165
166,V_5-166,V_6-166
167,V_5-167,V_6-167
168,V_5-168,V_6-168
169,V_5-169,V_6-169
170,V_5-170,V_6-170
171,V_5-171,V_6-171
172,V_5-172,V_6-172
173,V_5-173,V_6-173
174,V_5-174,V_6-174
175,V_5-175,V_6-175
176,V_5-176,V_6-176
177,V_5-177,V_6-177
178,V_5-178,V_6-178
179,V_5-179,V_6-179
180,V_5-180,V_6-180
181,V_5-181,V_6-181
182,V_5-182,V_6-182
183,V_5-183,V_6-183
184,V_5-184,V_6-184
185,V_5-185,V_6-185
186,V_5-186,V_6-186
187,V_5-187,V_6-187
188,V_5-188,V_6-188
189,V_5-189,V_6-189
190,V_5-190,V_6-190
191,V_5-191,V_6-191
192,V_5-192,V_6-192
193,V_5-193,V_6-193
194,V_5-194,V_6-194
195,V_5-195,V_6-195
196,V_5-196,V_6-196
197,V_5-197,V_6-197
198,V_5-198,V_6-198
199,V_5-199,V_6-199
200,V_5-200,V_6-200
201,V_5-201,V_6-201
202,V_5-202,V_6-202
203,V_5-203,V_6-203
204,V_5-204,V_6-204
205,V_5-205,V_6-205
206,V_5-206,V_6-206
207,V_5-207,V_6-207
208,V_5-208,V_6-208
209,V_5-209,V_6-209
210,V_5-210,V_6-210
211,V_5-211,V_6-211
212,V_5-212,V_6-212
213,V_5-213,V_6-213
214,V_5-214,V_6-214
215,V_5-215,V_6-215
216,V_5-216,V_6-216
217,V_5-217,V_6-217
218,V_5-218,V_6-218
219,V_5-219,V_6-219
220,V_5-220,V_6-220
221,V_5-221,V_6-221
222,V_5-222,V_6-222
223,V_5-223,V_6-223
224,V_5-224,V_6-224
225,V_5-225,V_6-225
226,V_5-226,V_6-226
227,V_5-227,V_6-227
228,V_5-228,V_6-228
229,V_5-229,V_6-229
230,V_5-230,V_6-230
231,V_5-231,V_6-231
232,V_5-232,V_6-232
233,V_5-233,V_6-233
234,V_5-234,V_6-234
235,V_5-235,V_6-235
236,V_5-236,V_6-236
237,V_5-237,V_6-237
238,V_5-238,V_6-238
239,V_5-239,V_6-239
240,V_5-240,V_6-240
241,V_5-241,V_6-241
242,V_5-242,V_6-242
243,V_5-243,V_6-243
244,V_5-244,V_6-244
245,V_5-245,V_6-245
246,V_5-246,V_6-246
247,V_5-247,V_6-247
248,V_5-248,V_6-248
249,V_5-249,V_6-249
250,V_5-250,V_6-250
251,V_5-251,V_6-251
252,V_5-252,V_6-252
253,V_5-253,V_6-253
254,V_5-254,V_6-254
255,V_5-255,V_6-255
256,V_5-256,V_6-256
257,V_5-257,V_6-257
258,V_5-258,V_6-258
259,V_5-259,V_6-259
260,V_5-260,V_6-260
261,V_5-261,V_6-261
262,V_5-262,V_6-262
263,V_5-263,V_6-263
264,V_5-264,V_6-264
265,V_5-265,V_6-265
266,V_5-266,V_6-266
267,V_5-267,V_6-267
268,V_5-268,V_6-268
269,V_5-269,V_6-269
270,V_5-270,V_6-270
271,V_5-271,V_6-271
272,V_5-272,V_6-272
273,V_5-273,V_6-273
274,V_5-274,V_6-274
275,V_5-275,V_6-275
276,V_5-276,V_6-276
277,V_5-277,V_6-277
278,V_5-278,V_6-278
279,V_5-279,V_6-279
280,V_5-280,V_6-280
281,V_5-281,V_6-281
282,V_5-282,V_6-282
283,V_5-283,V_6-283
284,V_5-284,V_6-284
285,V_5-285,V_6-285
286,V_5-286,V_6-286
287,V_5-287,V_6-287
288,V_5-288,V_6-288
289,V_5-289,V_6-289
290,V_5-290,V_6-290
291,V_5-291,V_6-291
292,V_5-292,V_6-292
293,V_5-293,V_6-293
294,V_5-294,V_6-294
295,V_5-295,V_6-295
296,V_5-296,V_6-296
297,V_5-297,V_6-297
298,V_5-298,V_6-298
299,V_5-299,V_6-299
300,V_5-300,V_6-300
301,V_5-301,V_6-301
302,V_5-302,V_6-302
303,V_5-303,V_6-303
304,V_5-304,V_6-304
305,V_5-305,V_6-305
306,V_5-306,V_6-306
