ID,P17,P18
1,V_17-1,V_18-1
2,V_17-2,V_18-2
3,V_17-3,V_18-3
4,V_17-4,V_18-4
5,V_17-5,V_18-5
6,V_17-6,V_18-6
7,V_17-7,V_18-7
8,V_17-8,V_18-8
9,V_17-9,V_18-9
10,V_17-10,V_18-10
11,V_17-11,V_18-11
12,V_17-12,V_18-12
13,V_17-13,V_18-13
14,V_17-14,V_18-14
15,V_17-15,V_18-15
16,V_17-16,V_18-16
17,V_17-17,V_18-17
18,V_17-18,V_18-18
19,V_17-19,V_18-19
20,V_17-20,V_18-20
21,V_17-21,V_18-21
22,V_17-22,V_18-22
23,V_17-23,V_18-23
24,V_17-24,V_18-24
25,V_17-25,V_18-25
26,V_17-26,V_18-26
27,V_17-27,V_18-27
28,V_17-28,V_18-28
29,V_17-29,V_18-29
30,V_17-30,V_18-30
31,V_17-31,V_18-31
32,V_17-32,V_18-32
33,V_17-33,V_18-33
34,V_17-34,V_18-34
35,V_17-35,V_18-35
36,V_17-36,V_18-36
37,V_17-37,V_18-37
38,V_17-38,V_18-38
39,V_17-39,V_18-39
40,V_17-40,V_18-40
41,V_17-41,V_18-41
42,V_17-42,V_18-42
43,V_17-43,V_18-43
44,V_17-44,V_18-44
45,V_17-45,V_18-45
46,V_17-46,V_18-46
47,V_17-47,V_18-47
48,V_17-48,V_18-48
49,V_17-49,V_18-49
50,V_17-50,V_18-50
51,V_17-51,V_18-51
52,V_17-52,V_18-52
53,V_17-53,V_18-53
54,V_17-54,V_18-54
55,V_17-55,V_18-55
56,V_17-56,V_18-56
57,V_17-57,V_18-57
58,V_17-58,V_18-58
59,V_17-59,V_18-59
60,V_17-60,V_18-60
61,V_17-61,V_18-61
62,V_17-62,V_18-62
63,V_17-63,V_18-63
64,V_17-64,V_18-64
65,V_17-65,V_18-65
66,V_17-66,V_18-66
67,V_17-67,V_18-67
68,V_17-68,V_18-68
69,V_17-69,V_18-69
70,V_17-70,V_18-70
71,V_17-71,V_18-71
72,V_17-72,V_18-72
73,V_17-73,V_18-73
74,V_17-74,V_18-74
75,V_17-75,V_18-75
76,V_17-76,V_18-76
77,V_17-77,V_18-77
78,V_17-78,V_18-78
79,V_17-79,V_18-79
80,V_17-80,V_18-80
81,V_17-81,V_18-81
82,V_17-82,V_18-82
83,V_17-83,V_18-83
84,V_17-84,V_18-84
85,V_17-85,V_18-85
86,V_17-86,V_18-86
87,V_17-87,V_18-87
88,V_17-88,V_18-88
89,V_17-89,V_18-89
90,V_17-90,V_18-90
91,V_17-91,V_18-91
92,V_17-92,V_18-92
93,V_17-93,V_18-93
94,V_17-94,V_18-94
95,V_17-95,V_18-95
96,V_17-96,V_18-96
97,V_17-97,V_18-97
98,V_17-98,V_18-98
99,V_17-99,V_18-99
100,V_17-100,V_18-100
101,V_17-101,V_18-101
102,V_17-102,V_18-102
103,V_17-103,V_18-103
104,V_17-104,V_18-104
105,V_17-105,V_18-105
106,V_17-106,V_18-106
107,V_17-107,V_18-107
108,V_17-108,V_18-108
109,V_17-109,V_18-109
110,V_17-110,V_18-110
111,V_17-111,V_18-111
112,V_17-112,V_18-112
113,V_17-113,V_18-113
114,V_17-114,V_18-114
115,V_17-115,V_18-115
116,V_17-116,V_18-116
117,V_17-117,V_18-117
118,V_17-118,V_18-118
119,V_17-119,V_18-119
120,V_17-120,V_18-120
121,V_17-121,V_18-121
122,V_17-122,V_18-122
123,V_17-123,V_18-123
124,V_17-124,V_18-124
125,V_17-125,V_18-125
126,V_17-126,V_18-126
127,V_17-127,V_18-127
128,V_17-128,V_18-128
129,V_17-129,V_18-129
130,V_17-130,V_18-130
131,V_17-131,V_18-131
132,V_17-132,V_18-132
133,V_17-133,V_18-133
134,V_17-134,V_18-134
135,V_17-135,V_18-135
136,V_17-136,V_18-136
137,V_17-137,V_18-137
138,V_17-138,V_18-138
139,V_17-139,V_18-139
140,V_17-140,V_18-140
141,V_17-141,V_18-141
142,V_17-142,V_18-142
143,V_17-143,V_18-143
144,V_17-144,V_18-144
145,V_17-145,V_18-145
146,V_17-146,V_18-146
147,V_17-147,V_18-147
148,V_17-148,V_18-148
149,V_17-149,V_18-149
150,V_17-150,V_18-150
151,V_17-151,V_18-151
152,V_17-152,V_18-152
153,V_17-153,V_18-153
154,V_17-154,V_18-154
155,V_17-155,V_18-155
156,V_17-156,V_18-156
157,V_17-157,V_18-157
158,V_17-158,V_18-158
159,V_17-159,V_18-159
160,V_17-160,V_18-160
161,V_17-161,V_18-161
162,V_17-162,V_18-162
163,V_17-163,V_18-163
164,V_17-164,V_18-164
165,V_17-165,V_18-165
166,V_17-166,V_18-166
167,V_17-167,V_18-167
168,V_17-168,V_18-168
169,V_17-169,V_18-169
170,V_17-170,V_18-170
171,V_17-171,V_18-171
172,V_17-172,V_18-172
173,V_17-173,V_18-173
174,V_17-174,V_18-174
175,V_17-175,V_18-175
176,V_17-176,V_18-176
177,V_17-177,V_18-177
178,V_17-178,V_18-178
179,V_17-179,V_18-179
180,V_17-180,V_18-180
181,V_17-181,V_18-181
182,V_17-182,V_18-182
183,V_17-183,V_18-183
184,V_17-184,V_18-184
185,V_17-185,V_18-185
186,V_17-186,V_18-186
187,V_17-187,V_18-187
188,V_17-188,V_18-188
189,V_17-189,V_18-189
190,V_17-190,V_18-190
191,V_17-191,V_18-191
192,V_17-192,V_18-192
193,V_17-193,V_18-193
194,V_17-194,V_18-194
195,V_17-195,V_18-195
196,V_17-196,V_18-196
197,V_17-197,V_18-197
198,V_17-198,V_18-198
199,V_17-199,V_18-199
200,V_17-200,V_18-200
201,V_17-201,V_18-201
202,V_17-202,V_18-202
203,V_17-203,V_18-203
204,V_17-204,V_18-204
205,V_17-205,V_18-205
206,V_17-206,V_18-206
207,V_17-207,V_18-207
208,V_17-208,V_18-208
209,V_17-209,V_18-209
210,V_17-210,V_18-210
211,V_17-211,V_18-211
212,V_17-212,V_18-212
