ID,P10,P11
1,V_10-1,V_11-1
2,V_10-2,V_11-2
3,V_10-3,V_11-3
4,V_10-4,V_11-4
5,V_10-5,V_11-5
6,V_10-6,V_11-6
7,V_10-7,V_11-7
8,V_10-8,V_11-8
9,V_10-9,V_11-9
10,V_10-10,V_11-10
11,V_10-11,V_11-11
12,V_10-12,V_11-12
13,V_10-13,V_11-13
14,V_10-14,V_11-14
15,V_10-15,V_11-15
16,V_10-16,V_11-16
17,V_10-17,V_11-17
18,V_10-18,V_11-18
19,V_10-19,V_11-19
20,V_10-20,V_11-20
21,V_10-21,V_11-21
22,V_10-22,V_11-22
23,V_10-23,V_11-23
24,V_10-24,V_11-24
25,V_10-25,V_11-25
26,V_10-26,V_11-26
27,V_10-27,V_11-27
28,V_10-28,V_11-28
29,V_10-29,V_11-29
30,V_10-30,V_11-30
31,V_10-31,V_11-31
32,V_10-32,V_11-32
33,V_10-33,V_11-33
34,V_10-34,V_11-34
35,V_10-35,V_11-35
36,V_10-36,V_11-36
37,V_10-37,V_11-37
38,V_10-38,V_11-38
39,V_10-39,V_11-39
40,V_10-40,V_11-40
41,V_10-41,V_11-41
42,V_10-42,V_11-42
43,V_10-43,V_11-43
44,V_10-44,V_11-44
45,V_10-45,V_11-45
46,V_10-46,V_11-46
47,V_10-47,V_11-47
48,V_10-48,V_11-48
49,V_10-49,V_11-49
50,V_10-50,V_11-50
51,V_10-51,V_11-51
52,V_10-52,V_11-52
53,V_10-53,V_11-53
54,V_10-54,V_11-54
55,V_10-55,V_11-55
56,V_10-56,V_11-56
57,V_10-57,V_11-57
58,V_10-58,V_11-58
59,V_10-59,V_11-59
60,V_10-60,V_11-60
61,V_10-61,V_11-61
62,V_10-62,V_11-62
63,V_10-63,V_11-63
64,V_10-64,V_11-64
65,V_10-65,V_11-65
66,V_10-66,V_11-66
67,V_10-67,V_11-67
68,V_10-68,V_11-68
69,V_10-69,V_11-69
70,V_10-70,V_11-70
71,V_10-71,V_11-71
72,V_10-72,V_11-72
73,V_10-73,V_11-73
74,V_10-74,V_11-74
75,V_10-75,V_11-75
76,V_10-76,V_11-76
77,V_10-77,V_11-77
78,V_10-78,V_11-78
79,V_10-79,V_11-79
80,V_10-80,V_11-80
81,V_10-81,V_11-81
82,V_10-82,V_11-82
83,V_10-83,V_11-83
84,V_10-84,V_11-84
85,V_10-85,V_11-85
86,V_10-86,V_11-86
87,V_10-87,V_11-87
88,V_10-88,V_11-88
89,V_10-89,V_11-89
90,V_10-90,V_11-90
91,V_10-91,V_11-91
92,V_10-92,V_11-92
93,V_10-93,V_11-93
94,V_10-94,V_11-94
95,V_10-95,V_11-95
96,V_10-96,V_11-96
97,V_10-97,V_11-97
98,V_10-98,V_11-98
99,V_10-99,V_11-99
100,V_10-100,V_11-100
101,V_10-101,V_11-101
102,V_10-102,V_11-102
103,V_10-103,V_11-103
104,V_10-104,V_11-104
105,V_10-105,V_11-105
106,V_10-106,V_11-106
107,V_10-107,V_11-107
108,V_10-108,V_11-108
109,V_10-109,V_11-109
110,V_10-110,V_11-110
111,V_10-111,V_11-111
112,V_10-112,V_11-112
113,V_10-113,V_11-113
114,V_10-114,V_11-114
115,V_10-115,V_11-115
116,V_10-116,V_11-116
117,V_10-117,V_11-117
118,V_10-118,V_11-118
119,V_10-119,V_11-119
120,V_10-120,V_11-120
121,V_10-121,V_11-121
122,V_10-122,V_11-122
123,V_10-123,V_11-123
124,V_10-124,V_11-124
125,V_10-125,V_11-125
126,V_10-126,V_11-126
127,V_10-127,V_11-127
128,V_10-128,V_11-128
129,V_10-129,V_11-129
130,V_10-130,V_11-130
131,V_10-131,V_11-131
132,V_10-132,V_11-132
133,V_10-133,V_11-133
134,V_10-134,V_11-134
135,V_10-135,V_11-135
136,V_10-136,V_11-136
137,V_10-137,V_11-137
138,V_10-138,V_11-138
